afp,indicador,coeficiente_estandarizado,abs_coeficiente
Integra,ret_PEN_FCX__mom3,9.748675288126972e-05,9.748675288126972e-05
Integra,ret_PEN_FCX__vol10,-6.932170897786694e-05,6.932170897786694e-05
Integra,ret_USD_COPX__vol10,-4.6162692952259135e-05,4.6162692952259135e-05
Integra,ret_USD_COPX__mom5,3.417530351034522e-05,3.417530351034522e-05
Prima,ret_USD_EPU__ret1,0.0019618164562748334,0.0019618164562748334
Prima,ret_USD_VWO__ret1,0.001093352834888099,0.001093352834888099
Prima,ret_USD_SPY__ret1,0.0008784861789423174,0.0008784861789423174
Prima,ret_USD_EPU__ma5_20,0.0007637487807368961,0.0007637487807368961
Prima,ret_USD_VWO__ma5_20,-0.0006085736353892774,0.0006085736353892774
Prima,ret_USD_EPU__rsi14,-0.0005025585523367934,0.0005025585523367934
Prima,ret_USD_VWO__macd12_26,0.0005001788369186924,0.0005001788369186924
Prima,ret_USD_SPY__mom3,0.0003652653898294325,0.0003652653898294325
Prima,ret_USD_EPU__mom3,0.00035149575036171196,0.00035149575036171196
Prima,ret_USD_SPY__vol10,-0.00034240242025908454,0.00034240242025908454
Prima,ret_USD_SPY__mom5,0.0003149212809288322,0.0003149212809288322
Prima,ret_USD_SPY__rsi14,0.00022003502751355577,0.00022003502751355577
Prima,ret_USD_VWO__mom3,0.0002192830438346916,0.0002192830438346916
Prima,ret_USD_SPY__macd12_26,-0.00019881322758765637,0.00019881322758765637
Prima,ret_USD_VWO__rsi14,0.00017568958274824436,0.00017568958274824436
Prima,ret_USD_EPU__macd12_26,-0.0001381580962335381,0.0001381580962335381
Prima,ret_USD_SPY__ma5_20,-8.99303698611815e-05,8.99303698611815e-05
Prima,ret_USD_VWO__vol10,7.941233845862032e-05,7.941233845862032e-05
Prima,ret_USD_EPU__vol10,4.0538085063897804e-05,4.0538085063897804e-05
Prima,ret_USD_EPU__mom5,3.751398792196929e-05,3.751398792196929e-05
Prima,ret_USD_VWO__mom5,-3.614876366546678e-05,3.614876366546678e-05
Profuturo,ret_USD_EPU__ret1,0.0023803309540969013,0.0023803309540969013
Profuturo,ret_USD_SPY__ret1,0.0014642060171548967,0.0014642060171548967
Profuturo,ret_USD_EPU__ma5_20,0.0007853078877410369,0.0007853078877410369
