periodo,afp,fecha_ca,monto_hojas_miles_soles,registros_hojas,identificadores_unicos,registros_isin,registros_fondo_sin_isin,total_fondo_miles_soles,total_exterior_miles_soles,total_exterior_pct_fp1356,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,cobertura_exterior_pct,exterior_sobre_fondo_pct
2022-04,Habitat,2022-04-29,997005.478819671,82,82,79,3,2373179.300746,1099554.228837,46.33253915923501,0.9067360687377876,9.326393126221245,1.1028567567539687,ampliado,False,True,90.67360687377875,46.33253915923501
2022-04,Integra,2022-04-29,2045898.3141126574,59,59,39,20,5630561.319918,2658617.237862,47.21762337366247,0.769534735943382,23.046526405661805,1.2994864991689918,excluir,False,False,76.95347359433819,47.21762337366247
2022-04,Prima,2022-04-29,1464044.900125336,37,37,30,7,4867652.239759,1633495.223665,33.55817431497274,0.8962651857900901,10.373481420990993,1.115741206793014,ampliado,False,True,89.626518579009,33.55817431497274
2022-04,Profuturo,2022-04-29,1603483.2770053702,85,85,64,21,4975297.01921,1959085.028431,39.376242681930826,0.8184858001235273,18.151419987647266,1.2217682943907864,excluir,False,False,81.84858001235273,39.376242681930826
2022-05,Habitat,2022-05-31,986993.6712597128,85,85,82,3,2348616.8806718998,1030297.3190268,43.868258271740466,0.9579697559457973,4.203024405420274,1.0438742912219672,operativo,True,True,95.79697559457972,43.86825827173861
2022-05,Integra,2022-05-31,2109311.173891666,57,57,37,20,5239224.7199342,2611965.2806842,49.85404177733005,0.8075571254680441,19.244287453195586,1.2383024908862263,excluir,False,False,80.75571254680442,49.85404177733007
2022-05,Prima,2022-05-31,1498054.217301983,38,38,31,7,4571465.5107881,1901102.0957145,41.58627230651032,0.7879925127003568,21.200748729964324,1.2690475910400707,excluir,False,False,78.79925127003567,41.5862723065094
2022-05,Profuturo,2022-05-31,1461676.8565185498,88,88,67,21,4607915.2237768,1937439.4344548,42.045900160179045,0.7544374448690155,24.556255513098446,1.3254909426899122,excluir,False,False,75.44374448690155,42.045900160177226
2022-06,Habitat,2022-06-30,1061859.4777475104,83,83,80,3,2323773.072343,1089029.7258658998,46.86471922870934,0.975050958230928,2.494904176907198,1.0255874234658853,operativo,True,True,97.5050958230928,46.86471922870934
2022-06,Integra,2022-06-30,2039703.9905243965,60,60,40,20,5016396.2412834,2511757.1131176,50.07094719605104,0.8120625915109723,18.79374084890277,1.2314321709356666,excluir,False,False,81.20625915109723,50.07094719604904
