bootstrap_n,mejora_mse_pct,ic95_inferior_pct,ic95_superior_pct,prob_mejora,escenario,variante_confianza,afp,modelo,comparado_con
1601,-0.04114003060900422,-0.7250674435477974,0.6604502031807252,0.5725,ampliado_15pct,todos_mapeados,Integra,M2_hibrido,P1_proxy_afp_ajena
1601,2.3809395880058077,0.31172072702317144,4.809503430210575,0.9925,ampliado_15pct,todos_mapeados,Integra,M2_hibrido,P2_proxy_pesos_permutados
1955,-43.40218191033184,-52.70871868151572,-32.55960176504859,0.0,ampliado_15pct,todos_mapeados,Prima,M1_proxy_directo,M0_base_mercado
1955,2.668819921863804,0.19988463537260365,4.685944781583106,0.9825,ampliado_15pct,todos_mapeados,Prima,M2_hibrido,M0_base_mercado
1955,2.384307260160774,-0.23008226531288367,4.402635105152756,0.9625,ampliado_15pct,todos_mapeados,Prima,P1_proxy_afp_ajena,M0_base_mercado
1955,1.4698418899051868,-0.39126479210611614,3.283903459643317,0.9075,ampliado_15pct,todos_mapeados,Prima,P2_proxy_pesos_permutados,M0_base_mercado
1955,0.2914620116063714,-1.279526860148944,1.4592834628479199,0.51,ampliado_15pct,todos_mapeados,Prima,M2_hibrido,P1_proxy_afp_ajena
1955,1.2168640089046774,0.2843046740162107,1.7070065211174474,0.9975,ampliado_15pct,todos_mapeados,Prima,M2_hibrido,P2_proxy_pesos_permutados
1764,-48.03090231611007,-60.09849830115961,-35.838589956592045,0.0,ampliado_15pct,todos_mapeados,Profuturo,M1_proxy_directo,M0_base_mercado
1764,2.87197324279014,0.30038244763905797,5.629419863077932,0.9875,ampliado_15pct,todos_mapeados,Profuturo,M2_hibrido,M0_base_mercado
1764,3.196882757902271,0.012927965216120673,5.841940285097636,0.975,ampliado_15pct,todos_mapeados,Profuturo,P1_proxy_afp_ajena,M0_base_mercado
1764,2.9380382656294417,-0.4818908980369129,5.177380313065932,0.935,ampliado_15pct,todos_mapeados,Profuturo,P2_proxy_pesos_permutados,M0_base_mercado
1764,-0.335639516958483,-1.025356514613714,0.8908353936325059,0.5625,ampliado_15pct,todos_mapeados,Profuturo,M2_hibrido,P1_proxy_afp_ajena
1764,-0.06806479248802112,-1.4084154548041488,2.6166679549893486,0.785,ampliado_15pct,todos_mapeados,Profuturo,M2_hibrido,P2_proxy_pesos_permutados
1883,-52.59595959388442,-64.60207489092885,-36.8926748941557,0.0,principal_5pct,alta,Habitat,M1_proxy_directo,M0_base_mercado
1883,2.644242039017186,-0.2443729734679689,5.70186685635076,0.9525,principal_5pct,alta,Habitat,M2_hibrido,M0_base_mercado
1883,0.4834155732062753,-2.438990551364784,2.3888760310586057,0.4975,principal_5pct,alta,Habitat,P1_proxy_afp_ajena,M0_base_mercado
1883,0.2278904037113997,-1.9194610125086158,1.9027102040990644,0.515,principal_5pct,alta,Habitat,P2_proxy_pesos_permutados,M0_base_mercado
1883,2.17132297923715,-0.005566090441330449,4.494085487697891,0.97,principal_5pct,alta,Habitat,M2_hibrido,P1_proxy_afp_ajena
1883,2.42187084655537,1.0392566013100846,4.114473712442304,1.0,principal_5pct,alta,Habitat,M2_hibrido,P2_proxy_pesos_permutados
468,-82.36332499198569,-107.30704446871007,-53.182845582146136,0.0,principal_5pct,alta,Integra,M1_proxy_directo,M0_base_mercado
468,1.4642003156862358,0.005735946921495852,3.677448437650213,0.975,principal_5pct,alta,Integra,M2_hibrido,M0_base_mercado
468,0.7141634056839201,-1.2380962398380608,2.4158000301195472,0.7425,principal_5pct,alta,Integra,P1_proxy_afp_ajena,M0_base_mercado
468,-0.03352660086585,-1.6518360179468208,1.8362912271948946,0.625,principal_5pct,alta,Integra,P2_proxy_pesos_permutados,M0_base_mercado
468,0.7554319283897274,-0.9648509243595035,2.724080153158775,0.9225,principal_5pct,alta,Integra,M2_hibrido,P1_proxy_afp_ajena
468,1.4972249479197328,0.26648051496618574,3.001341370362689,0.9925,principal_5pct,alta,Integra,M2_hibrido,P2_proxy_pesos_permutados
1350,-47.25733669201822,-61.42729642948002,-34.20586296490585,0.0,principal_5pct,alta,Prima,M1_proxy_directo,M0_base_mercado
1350,6.331169952563252,1.022981009007394,11.1581461824049,0.995,principal_5pct,alta,Prima,M2_hibrido,M0_base_mercado
1350,2.9400037307190092,-0.7932771191496579,6.5012728251342935,0.92,principal_5pct,alta,Prima,P1_proxy_afp_ajena,M0_base_mercado
1350,3.628891483545369,0.0011155773310594355,7.875269441194633,0.975,principal_5pct,alta,Prima,P2_proxy_pesos_permutados,M0_base_mercado
1350,3.4938866187835718,0.1496910996667253,5.453783300464531,0.985,principal_5pct,alta,Prima,M2_hibrido,P1_proxy_afp_ajena
1350,2.8040338132631204,0.43169522348848555,4.358273811203275,0.995,principal_5pct,alta,Prima,M2_hibrido,P2_proxy_pesos_permutados
472,-132.14445039130715,-195.87846678034543,-84.27963457121047,0.0,principal_5pct,alta,Profuturo,M1_proxy_directo,M0_base_mercado
472,-2.949166804528054,-8.550659175475166,2.6946707498961775,0.185,principal_5pct,alta,Profuturo,M2_hibrido,M0_base_mercado
472,-2.111203300999506,-8.819799749998616,3.43244689405603,0.34,principal_5pct,alta,Profuturo,P1_proxy_afp_ajena,M0_base_mercado
472,-4.150850045765284,-10.832426525691023,1.479978235010915,0.07,principal_5pct,alta,Profuturo,P2_proxy_pesos_permutados,M0_base_mercado
472,-0.8206381635308235,-2.393068449209523,0.8812749852471787,0.165,principal_5pct,alta,Profuturo,M2_hibrido,P1_proxy_afp_ajena
472,1.1537911027218644,-0.26156045242854636,3.3910491206777436,0.9525,principal_5pct,alta,Profuturo,M2_hibrido,P2_proxy_pesos_permutados
1883,-48.35163742243703,-60.66166363093424,-33.05397702066686,0.0,principal_5pct,alta_media,Habitat,M1_proxy_directo,M0_base_mercado
1883,1.293032630437004,-1.3738642115796642,3.643955013200566,0.815,principal_5pct,alta_media,Habitat,M2_hibrido,M0_base_mercado
1883,-0.7677535424092804,-3.2405090409870234,1.3138033476719533,0.1775,principal_5pct,alta_media,Habitat,P1_proxy_afp_ajena,M0_base_mercado
1883,-0.6152373630524756,-2.4495977475211452,0.9613067871201357,0.2375,principal_5pct,alta_media,Habitat,P2_proxy_pesos_permutados,M0_base_mercado
1883,2.0450849606158767,0.4837918099641908,3.842920128294302,0.99,principal_5pct,alta_media,Habitat,M2_hibrido,P1_proxy_afp_ajena
1883,1.89660139309101,0.4543460297658829,3.2093041766447286,0.9975,principal_5pct,alta_media,Habitat,M2_hibrido,P2_proxy_pesos_permutados
468,-83.82232185031677,-109.27359997778434,-53.35585938462416,0.0,principal_5pct,alta_media,Integra,M1_proxy_directo,M0_base_mercado
468,0.32122562654432674,-1.5484423955504745,3.952973233545462,0.855,principal_5pct,alta_media,Integra,M2_hibrido,M0_base_mercado
468,0.15945001860218552,-0.9317759797982368,2.432051412991663,0.77,principal_5pct,alta_media,Integra,P1_proxy_afp_ajena,M0_base_mercado
468,-0.32839736479801024,-2.154178051304349,2.4168453198132447,0.6325,principal_5pct,alta_media,Integra,P2_proxy_pesos_permutados,M0_base_mercado
