anio,mes,archivo,url,estado_descarga,hojas_disponibles,hoja3_estado,hoja9_estado,hoja10_estado,estado_general,error_general
2017,11,CA-0001-no2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Noviembre/CA-0001-no2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,12,CA-0001-di2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Diciembre/CA-0001-di2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,1,CA-0001-en2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Enero/CA-0001-en2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,2,CA-0001-fe2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Febrero/CA-0001-fe2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,3,CA-0001-ma2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Marzo/CA-0001-ma2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,4,CA-0001-ab2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Abril/CA-0001-ab2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,5,CA-0001-my2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Mayo/CA-0001-my2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,6,CA-0001-jn2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Junio/CA-0001-jn2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,7,CA-0001-jl2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Julio/CA-0001-jl2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,8,CA-0001-ag2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Agosto/CA-0001-ag2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
