observaciones_oos,rmse,mse,mae,r2,direccion_pct,modelo,escenario,variante_confianza,afp,mejora_mse_pct,ic95_inferior_pct,ic95_superior_pct,prob_mejora,ranking_afp_escenario
1350,0.004513635625954029,2.0372906563881423e-05,0.0029803188859701558,0.47196668621532134,71.25925925925925,M2_hibrido,principal_5pct,todos_mapeados,Prima,4.3041803907529905,0.5675384523544901,7.903305470909609,0.99,2
1350,0.0045175959582205655,2.040867324173079e-05,0.0029908474327078197,0.4710396708496616,70.88888888888889,M2_hibrido,principal_5pct,alta_media,Prima,4.136176795352274,0.17100938993412726,7.441339220413506,0.985,3
1350,0.005599103354426372,3.134995837354865e-05,0.003723520493547194,0.1874589737556419,64.81481481481481,M1_proxy_directo,principal_5pct,alta,Prima,-47.25733669201822,-61.42729642948002,-34.20586296490585,0.0,4
1350,0.005621480193976071,3.160103957126525e-05,0.0037239629596543143,0.18095134871728025,63.48148148148148,M1_proxy_directo,principal_5pct,alta_media,Prima,-48.43671779449471,-60.9741082080037,-34.027353817092724,0.0,5
1350,0.005623531581852161,3.162410745208867e-05,0.003718984766440964,0.1803534659598548,64.14814814814814,M1_proxy_directo,principal_5pct,todos_mapeados,Prima,-48.54507247403559,-60.94986124174564,-34.15089255956254,0.0,6
1764,0.0040872977975058905,1.67060032854965e-05,0.0027383233261458577,0.4698539573474565,74.94331065759637,M2_hibrido,ampliado_15pct,alta,Profuturo,3.660438521068833,0.3595886751080454,6.321554743800748,0.9875,1
1764,0.004103696404396648,1.684032417945797e-05,0.0027481040595306733,0.4655914363146104,75.79365079365078,M2_hibrido,ampliado_15pct,alta_media,Profuturo,2.88584176081676,0.2168571653600842,5.633631809185011,0.99,2
1764,0.0041039894108793355,1.6842729084609718e-05,0.0027460789436165862,0.4655151193806697,75.56689342403628,M2_hibrido,ampliado_15pct,todos_mapeados,Profuturo,2.87197324279014,0.30038244763905797,5.629419863077932,0.9875,3
1764,0.005065385622163726,2.5658131501223e-05,0.003474079151264511,0.1857683346057315,65.24943310657596,M1_proxy_directo,ampliado_15pct,alta_media,Profuturo,-47.96436316653755,-60.0052246390836,-35.855433801862496,0.0,4
1764,0.00506652443883774,2.5669669889340076e-05,0.0034735789325254676,0.18540217696201977,65.07936507936508,M1_proxy_directo,ampliado_15pct,todos_mapeados,Profuturo,-48.03090231611007,-60.09849830115961,-35.838589956592045,0.0,5
1764,0.0050770208807200306,2.5776141023267193e-05,0.0035009835617558307,0.1820234364372173,64.73922902494331,M1_proxy_directo,ampliado_15pct,alta,Profuturo,-48.644896110880126,-61.525813027633475,-36.511237165227634,0.0,6
472,0.0022489250865206823,5.057664044782059e-06,0.0017003465111962229,0.6445196103698512,77.33050847457628,M2_hibrido,principal_5pct,todos_mapeados,Profuturo,-0.6860400238764056,-3.968935221977888,3.407020740458815,0.535,1
472,0.0022525584259102424,5.074019462139228e-06,0.0017043338037263434,0.643370061866192,77.33050847457628,M2_hibrido,principal_5pct,alta_media,Profuturo,-1.0116374127203887,-4.144990144247048,3.1402729000686205,0.4725,2
472,0.002274059254727867,5.171345494013461e-06,0.0017261011976119722,0.6365294541418607,76.90677966101694,M2_hibrido,principal_5pct,alta,Profuturo,-2.949166804528054,-8.550659175475166,2.6946707498961775,0.185,3
472,0.003374846196080482,1.13895868471989e-05,0.0026487927371139927,0.19947732108743677,66.3135593220339,M1_proxy_directo,principal_5pct,todos_mapeados,Profuturo,-126.73953568260394,-190.2196223775903,-83.96612061532032,0.0,4
472,0.003378524983881774,1.1414431066713342e-05,0.002652989607106703,0.19773113297473244,66.10169491525424,M1_proxy_directo,principal_5pct,alta_media,Profuturo,-127.23412489577517,-190.73202038063425,-84.32896328099855,0.0,5
472,0.0034148333308627243,1.1661086677571009e-05,0.0027016836240865657,0.18039482279758545,64.40677966101694,M1_proxy_directo,principal_5pct,alta,Profuturo,-132.14445039130715,-195.87846678034543,-84.27963457121047,0.0,6
