fecha_cartera,afp,participacion_no_mapeada_pct,estado_general_v1,participacion_no_mapeada_abs_pct,estado_general_v2
2017-11-30,Prima,68.66659883185714,revisar,0.0,correcto
2017-11-30,Profuturo,66.11073051787264,revisar,0.0,correcto
2017-12-31,Habitat,94.51192302755042,revisar,0.0,correcto
2017-12-31,Integra,91.9719706144441,revisar,0.0,correcto
2017-12-31,Prima,93.10798779021638,revisar,0.0,correcto
2017-12-31,Profuturo,92.7002844746162,revisar,0.0,correcto
2018-01-31,Habitat,91.57568150088092,revisar,0.0,correcto
2018-01-31,Integra,91.14153279379047,revisar,0.0,correcto
2018-01-31,Prima,90.5542704828584,revisar,0.0,correcto
2018-01-31,Profuturo,90.7548437123999,revisar,0.0,correcto
2018-02-28,Habitat,60.98917386860456,revisar,0.0,correcto
2018-02-28,Integra,63.21600280639845,revisar,0.0,correcto
2018-02-28,Prima,68.61447119161548,revisar,0.0,correcto
2018-02-28,Profuturo,66.88240759117176,revisar,0.0,correcto
2018-03-31,Habitat,61.14811238873191,revisar,0.0,correcto
2018-03-31,Integra,62.60648291884275,revisar,0.0,correcto
2018-03-31,Prima,65.34374293631785,revisar,0.0,correcto
2018-03-31,Profuturo,67.22346587370363,revisar,0.0,correcto
2018-04-30,Habitat,62.29438248208162,revisar,0.0,correcto
2018-04-30,Integra,62.2525365194557,revisar,0.0,correcto
2018-04-30,Prima,66.46830354875443,revisar,0.0,correcto
2018-04-30,Profuturo,66.69508801186974,revisar,0.0,correcto
2018-05-31,Habitat,59.42179152086438,revisar,0.0,correcto
2018-05-31,Integra,64.97901735014646,revisar,0.0,correcto
2018-05-31,Prima,67.70658591930096,revisar,0.0,correcto
2018-05-31,Profuturo,67.30602616161559,revisar,0.0,correcto
2018-06-29,Habitat,60.647453025426,revisar,0.0,correcto
2018-06-29,Integra,63.5990719748001,revisar,0.0,correcto
2018-06-29,Prima,65.67111109118495,revisar,0.0,correcto
2018-06-29,Profuturo,68.02715854128974,revisar,0.0,correcto
2018-07-31,Habitat,56.563181719462406,revisar,0.0,correcto
2018-07-31,Integra,64.56155016366456,revisar,0.0,correcto
2018-07-31,Prima,65.36234320873145,revisar,0.0,correcto
2018-07-31,Profuturo,66.68611780190813,revisar,0.0,correcto
2018-08-31,Habitat,59.091691893073005,revisar,0.0,correcto
2018-08-31,Integra,65.60197854889313,revisar,0.0,correcto
2018-08-31,Prima,69.1003934450563,revisar,0.0,correcto
2018-08-31,Profuturo,67.5954789156433,revisar,0.0,correcto
2018-09-28,Habitat,63.11885088392184,revisar,0.0,correcto
2018-09-28,Integra,65.55493582770164,revisar,0.0,correcto
2018-09-28,Prima,67.98263736597077,revisar,0.0,correcto
2018-09-28,Profuturo,67.68416193005247,revisar,0.0,correcto
2018-10-31,Habitat,60.286041946258486,revisar,0.0,correcto
2018-10-31,Integra,66.55122286990338,revisar,0.0,correcto
2018-10-31,Prima,68.7880786990491,revisar,0.0,correcto
2018-10-31,Profuturo,66.03243516620572,revisar,0.0,correcto
2018-11-30,Habitat,60.83081368474749,revisar,0.0,correcto
2018-11-30,Integra,64.8316336073999,revisar,0.0,correcto
2018-11-30,Prima,66.33215987230487,revisar,0.0,correcto
2018-11-30,Profuturo,68.34233509693402,revisar,0.0,correcto
2018-12-31,Habitat,58.50310822764916,revisar,0.0,correcto
2018-12-31,Integra,65.01076082560499,revisar,0.0,correcto
2018-12-31,Prima,66.07040182766963,revisar,0.0,correcto
2018-12-31,Profuturo,67.66644097605528,revisar,0.0,correcto
2019-01-31,Habitat,0.0,correcto,0.0,correcto
2019-01-31,Integra,0.0197645412855964,correcto,0.0,correcto
2019-01-31,Prima,0.0,correcto,0.0,correcto
2019-01-31,Profuturo,0.0266965745256676,correcto,0.0,correcto
2019-02-28,Habitat,0.0,correcto,0.0,correcto
2019-02-28,Integra,0.019533395887175,correcto,0.0,correcto
2019-02-28,Prima,0.0,correcto,0.0,correcto
2019-02-28,Profuturo,0.0262890297983055,correcto,0.0,correcto
2019-03-31,Habitat,0.0,correcto,0.0,correcto
2019-03-31,Integra,0.0194819441937015,correcto,0.0,correcto
2019-03-31,Prima,0.0,correcto,0.0,correcto
2019-03-31,Profuturo,0.02619145586324,correcto,0.0,correcto
2019-04-30,Habitat,0.0,correcto,0.0,correcto
2019-04-30,Integra,0.0194567549563633,correcto,0.0,correcto
2019-04-30,Prima,0.0,correcto,0.0,correcto
2019-04-30,Profuturo,0.0259367573348208,correcto,0.0,correcto
2019-05-31,Habitat,0.0,correcto,0.0,correcto
2019-05-31,Integra,0.0210357654028885,correcto,0.0,correcto
2019-05-31,Prima,0.0,correcto,0.0,correcto
2019-05-31,Profuturo,0.0279583827816077,correcto,0.0,correcto
2019-06-28,Habitat,0.0,correcto,0.0,correcto
2019-06-28,Integra,0.0202943838650939,correcto,0.0,correcto
2019-06-28,Prima,0.0,correcto,0.0,correcto
2019-06-28,Profuturo,0.0270427548422484,correcto,0.0,correcto
2019-07-31,Habitat,0.0,correcto,0.0,correcto
2019-07-31,Integra,0.0206488869136394,correcto,0.0,correcto
2019-07-31,Prima,0.0,correcto,0.0,correcto
2019-07-31,Profuturo,0.0275361230442491,correcto,0.0,correcto
2019-08-30,Habitat,0.0,correcto,0.0,correcto
2019-08-30,Integra,0.0216873248841239,correcto,0.0,correcto
2019-08-30,Prima,0.0,correcto,0.0,correcto
2019-08-30,Profuturo,0.0289057765062905,correcto,0.0,correcto
2019-09-30,Habitat,0.0,correcto,0.0,correcto
2019-09-30,Integra,0.0215568554884656,correcto,0.0,correcto
2019-09-30,Prima,0.0,correcto,0.0,correcto
2019-09-30,Profuturo,0.0291060655112827,correcto,0.0,correcto
2019-10-31,Habitat,0.0,correcto,0.0,correcto
2019-10-31,Integra,0.021260517299085,correcto,0.0,correcto
2019-10-31,Prima,0.0,correcto,0.0,correcto
2019-10-31,Profuturo,0.0290171532213052,correcto,0.0,correcto
2019-11-30,Habitat,0.0,correcto,0.0,correcto
2019-11-30,Integra,0.0218253493391149,correcto,0.0,correcto
2019-11-30,Prima,0.0,correcto,0.0,correcto
2019-11-30,Profuturo,0.0297587444390965,correcto,0.0,correcto
2019-12-31,Habitat,0.0,correcto,0.0,correcto
2019-12-31,Integra,0.0211680659910357,correcto,0.0,correcto
2019-12-31,Prima,0.0,correcto,0.0,correcto
2019-12-31,Profuturo,0.0291652565324157,correcto,0.0,correcto
2020-01-31,Habitat,0.0,correcto,0.0,correcto
2020-01-31,Integra,0.0219320741676657,correcto,0.0,correcto
2020-01-31,Prima,0.0,correcto,0.0,correcto
2020-01-31,Profuturo,0.0301307399348973,correcto,0.0,correcto
2020-02-29,Habitat,0.0,correcto,0.0,correcto
2020-02-29,Integra,0.0235463446780018,correcto,0.0,correcto
2020-02-29,Prima,0.0,correcto,0.0,correcto
2020-02-29,Profuturo,0.0325278409866317,correcto,0.0,correcto
2020-03-31,Habitat,0.0,correcto,0.0,correcto
2020-03-31,Integra,0.0274153001688972,correcto,0.0,correcto
2020-03-31,Prima,0.0,correcto,0.0,correcto
2020-03-31,Profuturo,0.0373094716232118,correcto,0.0,correcto
2020-04-30,Habitat,0.0,correcto,0.0,correcto
2020-04-30,Integra,0.0287844545434875,correcto,0.0,correcto
2020-04-30,Prima,0.0,correcto,0.0,correcto
2020-04-30,Profuturo,0.0383880882950891,correcto,0.0,correcto
2020-05-31,Habitat,0.0,correcto,0.0,correcto
2020-05-31,Integra,0.029710146468785,correcto,0.0,correcto
2020-05-31,Prima,0.0,correcto,0.0,correcto
2020-05-31,Profuturo,0.0386739367561067,correcto,0.0,correcto
2020-06-30,Habitat,0.0,correcto,0.0,correcto
2020-06-30,Integra,0.0304305391319785,correcto,0.0,correcto
2020-06-30,Prima,0.0,correcto,0.0,correcto
2020-06-30,Profuturo,0.039996169617169,correcto,0.0,correcto
2020-07-31,Habitat,0.0,correcto,0.0,correcto
2020-07-31,Integra,0.0307921846732348,correcto,0.0,correcto
2020-07-31,Prima,0.0,correcto,0.0,correcto
2020-07-31,Profuturo,0.0403986059013081,correcto,0.0,correcto
2020-08-31,Habitat,0.0,correcto,0.0,correcto
2020-08-31,Integra,0.0302301648655681,correcto,0.0,correcto
2020-08-31,Prima,0.0,correcto,0.0,correcto
2020-08-31,Profuturo,0.0395777784139181,correcto,0.0,correcto
2020-09-30,Habitat,0.0,correcto,0.0,correcto
2020-09-30,Integra,0.0310527284074827,correcto,0.0,correcto
2020-09-30,Prima,0.0,correcto,0.0,correcto
2020-09-30,Profuturo,0.0404479620650411,correcto,0.0,correcto
2020-10-31,Habitat,0.0,correcto,0.0,correcto
2020-10-31,Integra,0.0318149307942597,correcto,0.0,correcto
2020-10-31,Prima,0.0,correcto,0.0,correcto
2020-10-31,Profuturo,0.0413034728091668,correcto,0.0,correcto
2020-11-30,Habitat,0.0,correcto,0.0,correcto
2020-11-30,Integra,0.0294897114328228,correcto,0.0,correcto
2020-11-30,Prima,0.0,correcto,0.0,correcto
2020-11-30,Profuturo,0.0382773081442021,correcto,0.0,correcto
2020-12-31,Habitat,0.0,correcto,0.0,correcto
2020-12-31,Integra,0.0290362073618836,correcto,0.0,correcto
2020-12-31,Prima,0.0,correcto,0.0,correcto
2020-12-31,Profuturo,0.037439679663927,correcto,0.0,correcto
2021-01-31,Habitat,0.0,correcto,0.0,correcto
2021-01-31,Integra,0.0294677571986638,correcto,0.0,correcto
