fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,fuente_detalle,valor_abs,ranking,grupo,entidad_administradora,isin,seccion,estado_identificacion
2026-01-30,CA-0001-en2026.XLS,3,553,Prima,3,49334.007770719996,miles_soles,0.016376694656780315,LARRAINVIAL ASSET MANAGEMENT SICAV,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3344285.975979006,1.4751731199147216,hoja3_emisor_o_fondo,49334.007770719996,16,,,,,
2026-01-30,CA-0001-en2026.XLS,3,401,Prima,3,48104.1802044186,miles_soles,0.015968446646048805,"CD&R Associates XI, L.P.",Fondo Mutuo Alternativo Extranjero,pareja_exacta,,3344285.975979006,1.438399124654302,hoja3_emisor_o_fondo,48104.1802044186,17,,,,,
2026-01-30,CA-0001-en2026.XLS,3,123,Prima,3,44896.9932948176,miles_soles,0.014903803348268095,HOCHSCHILD MINING PLC,,sin_categoria_adyacente,,3344285.975979006,1.3424986265319148,hoja3_emisor_o_fondo,44896.9932948176,18,,,,,
2026-01-30,CA-0001-en2026.XLS,3,124,Prima,3,44896.9932948176,miles_soles,0.014903803348268095,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,,sin_categoria_adyacente,,3344285.975979006,1.3424986265319148,hoja3_emisor_o_fondo,44896.9932948176,19,,,,,
2026-01-30,CA-0001-en2026.XLS,3,155,Prima,3,41825.22599736,miles_soles,0.013884113334009759,Nexa Resources S.A. Peru,,sin_categoria_adyacente,,3344285.975979006,1.2506474116680795,hoja3_emisor_o_fondo,41825.22599736,20,,,,,
2026-01-30,CA-0001-en2026.XLS,3,369,Profuturo,3,632808.6330319999,miles_soles,0.17782552486164638,BlackRock Fund Advisors,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,4454524.3766899705,14.20597530778857,hoja3_emisor_o_fondo,632808.6330319999,1,,,,,
2026-01-30,CA-0001-en2026.XLS,3,190,Profuturo,3,277315.778352,miles_soles,0.07792849411927456,BlackRock Institutional Trust Company PE,,sin_categoria_adyacente,,4454524.3766899705,6.225485706244252,hoja3_emisor_o_fondo,277315.778352,2,,,,,
2026-01-30,CA-0001-en2026.XLS,3,191,Profuturo,3,277315.778352,miles_soles,0.07792849411927456,FONDOS MUTUOS DEL EXT - ETF DEL MERCADO LOCAL,,sin_categoria_adyacente,,4454524.3766899705,6.225485706244252,hoja3_emisor_o_fondo,277315.778352,3,,,,,
2026-01-30,CA-0001-en2026.XLS,3,697,Profuturo,3,265889.0334,miles_soles,0.07471746504589778,VAN ECK ASSOCIATES CORPORATION,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,4454524.3766899705,5.968965728223818,hoja3_emisor_o_fondo,265889.0334,4,,,,,
2026-01-30,CA-0001-en2026.XLS,3,63,Profuturo,3,207599.5262256,miles_soles,0.058337533315904744,CONSORCIO CREDICORP,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,4454524.3766899705,4.660419579516619,hoja3_emisor_o_fondo,207599.5262256,5,,,,,
