factor,coef_estandarizado,coef_original,coef_abs_estandarizado,retorno_factor,contribucion_retorno,contribucion_puntos_pct,afp,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,intercepto_pct,ranking_contribucion,columna_modelo,ticker,nombre,grupo,moneda
ret_VGK,0.00022563642303404403,0.01532729135198836,0.00022563642303404403,0.0255343434690975,0.0003913723218325986,0.03913723218325986,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,11,ret_VGK,VGK,Europa,region,USD
ret_ACWI,0.0001811156683467416,0.012745574223082182,0.0001811156683467416,0.0276189933759878,0.00035201993004046767,0.035201993004046764,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,12,ret_ACWI,ACWI,Acciones globales,mercado,USD
ret_EWJ,0.00026207769727196786,0.01605145662597139,0.00026207769727196786,0.020747062738385,0.00033302057766149406,0.033302057766149404,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,13,ret_EWJ,EWJ,Japón,region,USD
ret_CPER,0.00022904962535332668,0.009463860727869202,0.00022904962535332668,0.0337902943583718,0.0003197866397613351,0.03197866397613351,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,14,ret_CPER,CPER,Cobre,materia_prima,USD
ret_XLB,0.00020353933509301882,0.012829025418605072,0.00020353933509301882,0.0235136115820582,0.0003016567206694313,0.03016567206694313,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,15,ret_XLB,XLB,Materiales,sector,USD
ret_LQD,-0.00025522940699404187,-0.020174990837118725,0.00025522940699404187,0.0142321469206543,-0.00028713343371672797,-0.028713343371672796,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,16,ret_LQD,LQD,Bonos corporativos grado inversión,bonos,USD
ret_ILF,0.000303103668443183,0.016473226569712434,0.000303103668443183,0.0173774382143596,0.0002862624769063248,0.02862624769063248,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,17,ret_ILF,ILF,América Latina,mercado,USD
ret_XLE,-0.0003459788042018264,-0.01984182722483393,0.0003459788042018264,0.0111422645451151,-0.00022108288799756661,-0.02210828879975666,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,18,ret_XLE,XLE,Energía,sector,USD
ret_MCHI,0.00014807663476581575,0.008847494429210448,0.00014807663476581575,0.024910680154198,0.00022039710389211005,0.022039710389211004,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,19,ret_MCHI,MCHI,China,region,USD
ret_SPY,0.00010040374430635997,0.00714680447663673,0.00010040374430635997,0.0280336906333544,0.0002003513057151064,0.02003513057151064,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,20,ret_SPY,SPY,Estados Unidos - S&P 500,mercado,USD
ret_USO,-0.00039139535831075314,-0.0140620479811638,0.00039139535831075314,0.0139935380927118,-0.0001967778040859567,-0.01967778040859567,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,21,ret_USO,USO,Petróleo,materia_prima,USD
ret_XLF,-0.0001303987976822706,-0.008995780811451153,0.0001303987976822706,0.0180016449695503,-0.00016193885239163675,-0.016193885239163673,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,22,ret_XLF,XLF,Finanzas,sector,USD
ret_TLT,-0.00023044037558271803,-0.017376812535913246,0.00023044037558271803,0.0080756954575571,-0.00014032984606309588,-0.014032984606309588,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,23,ret_TLT,TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD
