identificador,motivo_revision,accion_sugerida,ticker_provisional,nombre_provisional,peso_max_total_fondo_pct,meses_presentes,peso_universo_pct,meses_universo,gestora_reportada,lista_afp,peso_prioridad_pct,meses_prioridad
LU079478709X,correccion_checksum_propuesta,revisar contra LU0794787092 (alta),AEMFUII,ASHMORE E/M FRNTIER EQ-USDII,0.7718614682029793,2,0.7718614682029793,2,Ashmore,Habitat,0.7718614682029793,2
LU1892591238,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.7679931940020668,19,0.7679931940020668,19,DMS Investment,Habitat,0.7679931940020668,19
US40053C1053,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.7625046175909185,10,0.7625046175909185,10,Santander Mexic,Prima,0.7625046175909185,10
PRIVFAECVCII,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.7464322661342839,75,0.7464322661342839,75,CVC Credit Part | CVC Credit Partners Global Special Situations | CVC Credit Partners Global Special Situations II S.à R.L.,Habitat,0.7464322661342839,75
US92189F4946,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.6901513835530486,5,0.6901513835530486,5,VAN ECK,Integra,0.6901513835530486,5
US5007676118,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.6703296223566605,1,0.6703296223566605,1,Krane Funds,Habitat,0.6703296223566605,1
LU154849971X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.6380133753977612,1,0.6380133753977612,1,ALLIANZ,Habitat,0.6380133753977612,1
LU154849971X,correccion_checksum_propuesta,revisar contra LU1548499711 (alta),ALGAIWT,ALLIANZ GLOBAL ARTIF INT-WTE,0.6380133753977612,1,0.6380133753977612,1,ALLIANZ,Habitat,0.6380133753977612,1
LU084619477X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.6326820070143384,53,0.6326820070143384,53,DeAWM Investmen | Deutsche Asset,Integra,0.6326820070143384,53
LU084619477X,correccion_checksum_propuesta,revisar contra LU0846194776 (media_alta),XD5E,X MSCI EMU 1D,0.6326820070143384,53,0.6326820070143384,53,DeAWM Investmen | Deutsche Asset,Integra,0.6326820070143384,53
GB00B8JYLC77,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.5388144873114122,19,0.5388144873114122,19,Legg Mason Inv,Habitat,0.5388144873114122,19
PRIVFAESPOR7,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.5320342197798495,77,0.5320342197798495,77,SPFSA RE VII | SPFSA RE VII L.L.C.,Habitat,0.5320342197798495,77
LU1562332939,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.5269894496533855,36,0.5269894496533855,36,Henderson,Profuturo,0.5269894496533855,36
CVL79033FI1X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.4974207730594246,33,0.4974207730594246,33,LARRAIN VIAL,Profuturo,0.4974207730594246,33
CVL79033FI1X,correccion_checksum_propuesta,revisar contra CVL79033FI12 (media),,,0.4974207730594246,33,0.4974207730594246,33,LARRAIN VIAL,Profuturo,0.4974207730594246,33
PRIVFAESPOS8,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.4766804553481212,76,0.4766804553481212,76,Strategic PFS | Strategic Partners Fund Solutions GP (Offshor | Strategic Partners Fund Solutions GP (Offshore) Ltd.,Habitat,0.4766804553481212,76
LU091226375X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.4751003118418407,2,0.4751003118418407,2,Northern Trust,Habitat,0.4751003118418407,2
LU091226375X,correccion_checksum_propuesta,revisar contra LU0912263752 (alta),ASHMDIU,ASHMORE-EMER MKTS DEBT-INST,0.4751003118418407,2,0.4751003118418407,2,Northern Trust,Habitat,0.4751003118418407,2
LU2091609516,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.4734691005508681,12,0.4734691005508681,12,Jupiter Unit,Prima,0.4734691005508681,12
PRIVFAEOSF6F,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.4603177329320205,78,0.4603177329320205,78,"Oaktree SSF II | Oaktree Special Situations Fund II GP, L.P.",Habitat,0.4603177329320205,78
LU0242142494,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.454530913700388,8,0.454530913700388,8,NNIPL,Prima,0.454530913700388,8
US4642868552,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.4389844800139534,9,0.4389844800139534,9,BlackRock USA,Habitat,0.4389844800139534,9
IE00B3CTFW2X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.4221743381739405,27,0.4221743381739405,27,GAM Internation | GAM International Management Limited,Habitat,0.4221743381739405,27
IE00B3CTFW2X,correccion_checksum_propuesta,revisar contra IE00B3CTFW21 (alta),GAMCIEA,GAM STAR-CONT EUR EQ-IEA,0.4221743381739405,27,0.4221743381739405,27,GAM Internation | GAM International Management Limited,Habitat,0.4221743381739405,27
PRIVFAEIEF5S,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.4179155027574943,48,0.4179155027574943,48,InfraVia Europ | InfraVia European Fund V SCSp,Habitat,0.4179155027574943,48
PRIVFAEPLEP6,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.4082284710184449,27,0.4082284710184449,27,"Platinum EPVILP | Platinum Equity Partners VI, LP",Habitat,0.4082284710184449,27
LU0325327566,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.3893358249810817,4,0.3893358249810817,4,Pic Asset Ma Eu,Habitat,0.3893358249810817,4
