periodo,afp,monto_ca_miles_soles,registros,suma_pct_reportada,total_fp_miles_soles,objetivo_monto_miles_soles,objetivo_pct,objetivo,escenario,ratio_ca_objetivo,error_abs_pct,pct_ca_sobre_fondo,diferencia_pct_interno_pp
2019-09,Habitat,1403050.397974035,90,107.6761121673394,1303028.47097,689413.6508198,52.908563870948036,administradoras_fondos_exterior,solo_hojas_jerarquia,2.0351357944619037,103.51357944619038,107.6761121673402,7.958078640513122e-13
2019-09,Habitat,1403050.397974035,90,107.6761121673394,1303028.47097,674166.6001803,51.7384397348154,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.0811627238709267,108.11627238709266,107.6761121673402,7.958078640513122e-13
2019-09,Habitat,1403050.397974035,90,107.6761121673394,1303028.47097,673383.5086941,51.67834193160953,fondos_mutuos_exterior,solo_hojas_jerarquia,2.083582950665047,108.3582950665047,107.6761121673402,7.958078640513122e-13
2019-09,Integra,7975046.594481935,116,104.8847038874479,7603631.7011869,3958884.6853267,52.06570808405653,total_exterior,solo_hojas_jerarquia,2.014468020258541,101.4468020258541,104.88470388744709,8.100187187665142e-13
2019-09,Integra,7975046.594481935,116,104.8847038874479,7603631.7011869,3878550.8012282,51.009188157059526,rv_y_fondos_exterior,solo_hojas_jerarquia,2.0561923778222835,105.61923778222835,104.88470388744709,8.100187187665142e-13
2019-09,Integra,7975046.594481935,116,104.8847038874479,7603631.7011869,3866397.0180323003,50.849346338392756,fondos_exterior_amplio,solo_hojas_jerarquia,2.0626558931448336,106.26558931448335,104.88470388744709,8.100187187665142e-13
2019-09,Integra,7975046.594481935,116,104.8847038874479,7603631.7011869,3866397.0180323003,50.849346338392756,administradoras_fondos_exterior,solo_hojas_jerarquia,2.0626558931448336,106.26558931448335,104.88470388744709,8.100187187665142e-13
2019-09,Integra,7975046.594481935,116,104.8847038874479,7603631.7011869,3059073.3291464,40.23173990224869,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.607013868708823,160.7013868708823,104.88470388744709,8.100187187665142e-13
2019-09,Integra,7975046.594481935,116,104.8847038874479,7603631.7011869,3059073.3291464,40.23173990224869,fondos_mutuos_exterior,solo_hojas_jerarquia,2.607013868708823,160.7013868708823,104.88470388744709,8.100187187665142e-13
2019-09,Prima,6706397.0788166635,52,103.82165251823868,6459536.0564487,3367807.5412929,52.13698804158993,total_exterior,solo_hojas_jerarquia,1.9913243249767414,99.13243249767415,103.8216525182411,2.4158453015843406e-12
2019-09,Prima,6706397.0788166635,52,103.82165251823868,6459536.0564487,3213147.810897,49.74270261544857,rv_y_fondos_exterior,solo_hojas_jerarquia,2.087173536204196,108.71735362041962,103.8216525182411,2.4158453015843406e-12
2019-09,Prima,6706397.0788166635,52,103.82165251823868,6459536.0564487,3213147.810897,49.74270261544857,fondos_exterior_amplio,solo_hojas_jerarquia,2.087173536204196,108.71735362041962,103.8216525182411,2.4158453015843406e-12
2019-09,Prima,6706397.0788166635,52,103.82165251823868,6459536.0564487,3213146.9839789,49.74268981393941,administradoras_fondos_exterior,solo_hojas_jerarquia,2.0871740733478696,108.71740733478697,103.8216525182411,2.4158453015843406e-12
2019-09,Prima,6706397.0788166635,52,103.82165251823868,6459536.0564487,2730303.9565937,42.26780271422023,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.4562822255085095,145.62822255085095,103.8216525182411,2.4158453015843406e-12
2019-09,Prima,6706397.0788166635,52,103.82165251823868,6459536.0564487,2730303.1296756,42.26778991271107,fondos_mutuos_exterior,solo_hojas_jerarquia,2.4562829694347825,145.62829694347826,103.8216525182411,2.4158453015843406e-12
2019-09,Profuturo,6515263.77558741,84,115.69340022939053,5631491.3060461,3324293.2262699003,59.03042454670582,total_exterior,solo_hojas_jerarquia,1.9598944293184424,95.98944293184424,115.69340022939343,2.8990143619012088e-12
2019-09,Profuturo,6515263.77558741,84,115.69340022939053,5631491.3060461,3065792.7520552003,54.440157774258466,rv_y_fondos_exterior,solo_hojas_jerarquia,2.12514814356574,112.51481435657399,115.69340022939343,2.8990143619012088e-12
2019-09,Profuturo,6515263.77558741,84,115.69340022939053,5631491.3060461,3065792.7520552003,54.440157774258466,fondos_exterior_amplio,solo_hojas_jerarquia,2.12514814356574,112.51481435657399,115.69340022939343,2.8990143619012088e-12
2019-09,Profuturo,6515263.77558741,84,115.69340022939053,5631491.3060461,3065768.1807731,54.43972145498237,administradoras_fondos_exterior,solo_hojas_jerarquia,2.1251651760389936,112.51651760389936,115.69340022939343,2.8990143619012088e-12
2019-09,Profuturo,6515263.77558741,84,115.69340022939053,5631491.3060461,2319052.3403527,41.18007494503046,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.8094509391696247,180.94509391696246,115.69340022939343,2.8990143619012088e-12
2019-09,Profuturo,6515263.77558741,84,115.69340022939053,5631491.3060461,2319027.7690706,41.179638625754365,fondos_mutuos_exterior,solo_hojas_jerarquia,2.8094807067353664,180.94807067353665,115.69340022939343,2.8990143619012088e-12
2019-10,Habitat,1266304.386565793,95,97.33170193046242,1301019.463803,633945.8827845,48.72685616335939,total_exterior,solo_hojas_jerarquia,1.9974960338945105,99.74960338945105,97.33170193044371,1.8701484805205837e-11
2019-10,Habitat,1266304.386565793,95,97.33170193046242,1301019.463803,632157.9712774,48.58943227718063,rv_y_fondos_exterior,solo_hojas_jerarquia,2.003145485940761,100.31454859407609,97.33170193044371,1.8701484805205837e-11
2019-10,Habitat,1266304.386565793,95,97.33170193046242,1301019.463803,632157.9712774,48.58943227718063,fondos_exterior_amplio,solo_hojas_jerarquia,2.003145485940761,100.31454859407609,97.33170193044371,1.8701484805205837e-11
2019-10,Habitat,1266304.386565793,95,97.33170193046242,1301019.463803,631374.296943,48.52919687285321,administradoras_fondos_exterior,solo_hojas_jerarquia,2.0056318299573004,100.56318299573005,97.33170193044371,1.8701484805205837e-11
2019-10,Habitat,1266304.386565793,95,97.33170193046242,1301019.463803,615126.8976322,47.28037625465048,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.058606754866617,105.86067548666169,97.33170193044371,1.8701484805205837e-11
