afp,factor,rezago_dias_mercado,correlacion_raw,correlacion_winsorizada,observaciones,correlacion_abs_raw,correlacion_abs_winsorizada,cambio_por_extremos
Habitat,ret_PEN_X,3,-0.005484110247414388,0.011649413120948105,2764,0.005484110247414388,0.011649413120948105,0.01713352336836249
Integra,ret_ACWI,0,0.37383142651014334,0.3568383489473582,2672,0.37383142651014334,0.3568383489473582,-0.01699307756278512
Integra,ret_ACWI,1,0.09383047701884725,0.11805469176619993,2565,0.09383047701884725,0.11805469176619993,0.024224214747352674
Integra,ret_ACWI,2,0.01876269808529096,0.006648830875080719,2563,0.01876269808529096,0.006648830875080719,-0.01211386721021024
Integra,ret_ACWI,3,0.02805021870395796,0.021305743313037976,2559,0.02805021870395796,0.021305743313037976,-0.006744475390919984
Integra,ret_SPY,0,0.35415586823411366,0.33743830216402765,2672,0.35415586823411366,0.33743830216402765,-0.01671756607008601
Integra,ret_SPY,1,0.08959618399850851,0.11808429506804273,2565,0.08959618399850851,0.11808429506804273,0.028488111069534222
Integra,ret_SPY,2,0.014278455019235045,0.0043431731122056515,2563,0.014278455019235045,0.0043431731122056515,-0.009935281907029393
Integra,ret_SPY,3,0.022980331993888128,0.018533596970638604,2559,0.022980331993888128,0.018533596970638604,-0.004446735023249524
Integra,ret_QQQ,0,0.3653410143453346,0.3564466666927154,2672,0.3653410143453346,0.3564466666927154,-0.008894347652619206
Integra,ret_QQQ,1,0.09558983725313852,0.1246424121511343,2565,0.09558983725313852,0.1246424121511343,0.029052574897995773
Integra,ret_QQQ,2,0.012228789864225646,0.008312202440811529,2563,0.012228789864225646,0.008312202440811529,-0.003916587423414117
Integra,ret_QQQ,3,0.016850013761186916,0.014662783804251723,2559,0.016850013761186916,0.014662783804251723,-0.002187229956935193
Integra,ret_EEM,0,0.4094844587828665,0.3975330735423636,2672,0.4094844587828665,0.3975330735423636,-0.011951385240502876
Integra,ret_EEM,1,0.09145349248294293,0.1080174521548957,2565,0.09145349248294293,0.1080174521548957,0.01656395967195276
Integra,ret_EEM,2,0.013138403514248751,0.005462059074040225,2563,0.013138403514248751,0.005462059074040225,-0.007676344440208526
Integra,ret_EEM,3,0.03161935232271881,0.024233494222128296,2559,0.03161935232271881,0.024233494222128296,-0.007385858100590517
Integra,ret_ILF,0,0.37748803004407955,0.34806080721384064,2672,0.37748803004407955,0.34806080721384064,-0.02942722283023891
Integra,ret_ILF,1,0.09204643216424871,0.11422697368769875,2565,0.09204643216424871,0.11422697368769875,0.022180541523450045
Integra,ret_ILF,2,0.01233055607483829,0.0013290557479589999,2563,0.01233055607483829,0.0013290557479589999,-0.01100150032687929
Integra,ret_ILF,3,0.03310852325296065,0.017384745750646784,2559,0.03310852325296065,0.017384745750646784,-0.01572377750231387
Integra,ret_EPU,0,0.4442168306592672,0.4279784022105568,2672,0.4442168306592672,0.4279784022105568,-0.01623842844871043
Integra,ret_EPU,1,0.09726697661189171,0.10042479712597749,2565,0.09726697661189171,0.10042479712597749,0.0031578205140857796
Integra,ret_EPU,2,0.037965850534706184,0.028668258195553357,2563,0.037965850534706184,0.028668258195553357,-0.009297592339152828
Integra,ret_EPU,3,0.030216145145162708,0.02320506517918702,2559,0.030216145145162708,0.02320506517918702,-0.007011079965975688
Integra,ret_VGK,0,0.36776804861048745,0.346428911043457,2672,0.36776804861048745,0.346428911043457,-0.02133913756703043
Integra,ret_VGK,1,0.09256036361612091,0.10341554128812433,2565,0.09256036361612091,0.10341554128812433,0.010855177672003419
Integra,ret_VGK,2,0.03473774338637224,0.02074986477482221,2563,0.03473774338637224,0.02074986477482221,-0.013987878611550032
Integra,ret_VGK,3,0.03796146656581927,0.02954230596372362,2559,0.03796146656581927,0.02954230596372362,-0.008419160602095653
Integra,ret_EWJ,0,0.3488401375371614,0.33391485234442164,2672,0.3488401375371614,0.33391485234442164,-0.014925285192739779
Integra,ret_EWJ,1,0.06861872726408826,0.08054942793588221,2565,0.06861872726408826,0.08054942793588221,0.011930700671793956
Integra,ret_EWJ,2,0.011735855517281093,-0.0027481786546817827,2563,0.011735855517281093,0.0027481786546817827,-0.014484034171962876
Integra,ret_EWJ,3,0.009367647682341315,0.008066103292518919,2559,0.009367647682341315,0.008066103292518919,-0.0013015443898223965
Integra,ret_MCHI,0,0.352461584899174,0.36037291583605247,2672,0.352461584899174,0.36037291583605247,0.007911330936878458
Integra,ret_MCHI,1,0.09142323204969494,0.10409170349102366,2565,0.09142323204969494,0.10409170349102366,0.012668471441328724
Integra,ret_MCHI,2,0.012434524990414418,0.014436391144722255,2563,0.012434524990414418,0.014436391144722255,0.002001866154307837
Integra,ret_MCHI,3,0.0120935541474506,0.01537512918365442,2559,0.0120935541474506,0.01537512918365442,0.0032815750362038196
Integra,ret_XLK,0,0.3834778959009544,0.36988627867500706,2672,0.3834778959009544,0.36988627867500706,-0.013591617225947317
