anio,mes,archivo,hoja,fecha_cartera,fila_codigos,fila_inicio_datos,frontera_metadatos_columna,afp_fondo3_detectadas,numero_afp_detectadas,unidad,filas_base,filas_canonicas,registros_largos,registros_refinados,parejas_exactas_originales,parejas_exactas_heuristicas,pendientes,fusiones_nuevas,incidencias_iniciales,estado_proceso,error,grupos_reconciliados,grupos_sin_isin,grupos_revisar,registros_isin,fondos_sin_isin_pareja
2021,3,CA-0001-ma2021.XLS,9,2021-03-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,26,51,,,,,,,correcto,,,,,,
2021,3,CA-0001-ma2021.XLS,10,2021-03-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,633,463,374,321.0,,,79.0,53.0,,correcto,,138.0,127.0,1.0,189.0,53.0
2021,4,CA-0001-ab2021.XLS,3,2021-04-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,712,354,386,370.0,296.0,16.0,58.0,16.0,48.0,correcto,,,,,,
2021,4,CA-0001-ab2021.XLS,9,2021-04-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,26,51,,,,,,,correcto,,,,,,
2021,4,CA-0001-ab2021.XLS,10,2021-04-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,628,457,383,330.0,,,80.0,53.0,,correcto,,139.0,127.0,1.0,197.0,53.0
2021,5,CA-0001-my2021.XLS,3,2021-05-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,711,354,390,373.0,300.0,17.0,56.0,17.0,46.0,correcto,,,,,,
2021,5,CA-0001-my2021.XLS,9,2021-05-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,47,27,53,,,,,,,correcto,,,,,,
2021,5,CA-0001-my2021.XLS,10,2021-05-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,623,452,389,336.0,,,81.0,53.0,,correcto,,139.0,127.0,1.0,202.0,53.0
2021,6,CA-0001-jn2021.XLS,3,2021-06-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,708,351,382,366.0,298.0,16.0,52.0,16.0,47.0,correcto,,,,,,
2021,6,CA-0001-jn2021.XLS,9,2021-06-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,47,27,52,,,,,,,correcto,,,,,,
2021,6,CA-0001-jn2021.XLS,10,2021-06-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,618,449,377,324.0,,,80.0,53.0,,correcto,,137.0,127.0,1.0,191.0,53.0
2021,7,CA-0001-jl2021.XLS,3,2021-07-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,703,347,382,368.0,297.0,14.0,57.0,14.0,51.0,correcto,,,,,,
2021,7,CA-0001-jl2021.XLS,9,2021-07-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,47,27,51,,,,,,,correcto,,,,,,
2021,7,CA-0001-jl2021.XLS,10,2021-07-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,609,444,377,324.0,,,81.0,53.0,,correcto,,134.0,128.0,1.0,190.0,53.0
2021,8,CA-0001-ag2021.XLS,3,2021-08-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,697,345,385,371.0,298.0,14.0,59.0,14.0,50.0,correcto,,,,,,
2021,8,CA-0001-ag2021.XLS,9,2021-08-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,47,27,51,,,,,,,correcto,,,,,,
2021,8,CA-0001-ag2021.XLS,10,2021-08-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,597,435,376,323.0,,,79.0,53.0,,correcto,,133.0,126.0,1.0,191.0,53.0
2021,9,CA-0001-se2021.XLS,3,2021-09-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,707,349,392,378.0,304.0,14.0,60.0,14.0,52.0,correcto,,,,,,
2021,9,CA-0001-se2021.XLS,9,2021-09-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,47,27,51,,,,,,,correcto,,,,,,
2021,9,CA-0001-se2021.XLS,10,2021-09-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,626,452,385,332.0,,,83.0,53.0,,correcto,,137.0,134.0,1.0,196.0,53.0
