fecha_cartera,afp,fondo,instrumento_id,tipo_id,moneda,peso_fondo,peso_fondo_pct,monto_miles_soles,archivo,grupo,entidad_administradora,isin,estado_identificacion,estado_cobertura,fuente_precio_sugerida,ticker_precio,proxy_si_no_hay_precio,estado_mapeo_precio
2026-01-30,Habitat,3,LU2791994721,isin,USD,0.003547762442025,0.3547762442025035,17689.973864433734,CA-0001-en2026.XLS,53,Auna S.A.A.,LU2791994721,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEIEF5S,isin,EUR,0.0034274460553494,0.3427446055349429,17090.04820127696,CA-0001-en2026.XLS,315,InfraVia European Fund V SCSp,PRIVFAEIEF5S,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEGS5SC,isin,USD,0.0031492868286923,0.31492868286923,15703.081195981347,CA-0001-en2026.XLS,314,G Squared Equity GP V S.à.r.l,PRIVFAEGS5SC,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAECVCII,isin,USD,0.0029774687677583,0.2977468767758306,14846.3561313727,CA-0001-en2026.XLS,280,CVC Credit Partners Global Special Situations,PRIVFAECVCII,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEPGSF6,isin,USD,0.0029463726011261,0.2946372601126156,14691.303366708778,CA-0001-en2026.XLS,279,"PGSF VI Feeder GP, LLC",PRIVFAEPGSF6,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEEQTI6,isin,EUR,0.0028106421592034,0.2810642159203407,14014.519616540048,CA-0001-en2026.XLS,281,EQT Infrastructure IV (GP) SCS,PRIVFAEEQTI6,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEPLEP6,isin,USD,0.002786451111414,0.2786451111414003,13893.897390519878,CA-0001-en2026.XLS,320,"Platinum Equity Partners VI, LP",PRIVFAEPLEP6,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEKVCXC,isin,USD,0.0027027231471487,0.2702723147148784,13476.410164760606,CA-0001-en2026.XLS,318,"Knightsbridge Management X, LLC",PRIVFAEKVCXC,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1548499711,isin,EUR,0.0026754095122826,0.2675409512282625,13340.217988756494,CA-0001-en2026.XLS,73,ALLIANZ GLOBAL INVESTORS,LU1548499711,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,ASF VIII L.P.,fondo_sin_isin,USD,0.0026420156909345,0.2642015690934544,13173.708579929242,CA-0001-en2026.XLS,275,ASF VIII GP Limited,,entidad_sin_isin,estricto,proxy_pendiente,,,pendiente
