nivel_profundidad,nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,tipo_fila,es_hoja
3,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,instrumento_o_detalle,True
3,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos Mutuos Alternativos del Extranjero,Fondos Mutuos Alternativos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos Mutuos Alternativos del Extranjero,instrumento_o_detalle,True
3,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos Mutuos del Extranjero,Fondos Mutuos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos Mutuos del Extranjero,instrumento_o_detalle,True
3,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos de inversión,Fondos de inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos de inversión,instrumento_o_detalle,True
3,,II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,5. Sociedades Titulizadoras,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras,instrumento_o_detalle,False
3,II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,Bonos de Titulización,Bonos de Titulización,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras > Bonos de Titulización,instrumento_o_detalle,True
3,TOTAL,,Encaje Legal,Encaje Legal,TOTAL > Encaje Legal,instrumento_o_detalle,True
3,TOTAL,,Fondo de Pensiones,Fondo de Pensiones,TOTAL > Fondo de Pensiones,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,1. Gobierno,Bonos Brady,I. INVERSIONES LOCALES > 1. Gobierno > Bonos Brady,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,1. Gobierno,Bonos del Gobierno Central,I. INVERSIONES LOCALES > 1. Gobierno > Bonos del Gobierno Central,instrumento_o_detalle,True
