afp,modelo,segmento,tipo_features,parametros,n,mae,rmse,r2,sesgo,correlacion,direccion_diaria_pct
Habitat,ARDL_RIDGE,prueba,ardl,"{""alpha"": 0.001}",593,0.004282969053717526,0.006530815035046968,0.23280767208376874,-0.00016999387124905802,0.4848204100292564,66.27318718381113
Integra,OLS,entrenamiento,estatico,{},1779,0.0033219359475133246,0.004526013971388892,0.20334857303197218,2.925334698105914e-20,0.45094187322976825,64.36200112422709
Integra,OLS,validacion,estatico,{},593,0.0033621603390783746,0.005561853053276093,0.1508382634968949,0.0003369814333350893,0.3933602949031572,63.06913996627319
Integra,OLS,prueba,estatico,{},593,0.0047940485261252835,0.00699622104203748,0.21802277835391282,-5.601565559438227e-05,0.5055053206446082,66.27318718381113
Integra,RIDGE,entrenamiento,estatico,"{""alpha"": 0.001}",1779,0.003321935929468194,0.0045260139713890375,0.20334857303192078,5.655647083004767e-20,0.4509418732297413,64.36200112422709
Integra,RIDGE,validacion,estatico,"{""alpha"": 0.001}",593,0.0033621602250447523,0.005561853036393187,0.1508382686521258,0.0003369814695900603,0.39336031177074354,63.06913996627319
Integra,RIDGE,prueba,estatico,"{""alpha"": 0.001}",593,0.0047940485754412775,0.006996221147545416,0.21802275476837907,-5.601566578379838e-05,0.5055053301069227,66.27318718381113
Integra,ELASTIC_NET,entrenamiento,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",1779,0.00332189056166154,0.004526014088133591,0.2033485319340732,3.900446264141219e-20,0.45094186984102713,64.36200112422709
Integra,ELASTIC_NET,validacion,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.0033620182797452465,0.005561896004637377,0.15082514815817116,0.0003369567181323615,0.3933542894652042,63.06913996627319
Integra,ELASTIC_NET,prueba,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.004794110362341846,0.006996473114923369,0.2179664282744075,-5.615219443339215e-05,0.5055008251505662,66.27318718381113
Integra,HUBER,entrenamiento,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",1779,0.0033104958535196695,0.004536576148268,0.199626007667288,6.63616618261568e-05,0.44875274757118117,64.75548060708263
Integra,HUBER,validacion,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.0033476594195100957,0.0055908370638976124,0.1419648746977591,0.00038990810466244067,0.3870363281222668,62.563237774030355
Integra,HUBER,prueba,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.004816874702615089,0.007081315560183899,0.19888483316030525,-6.364916554962005e-05,0.5006295531688102,67.11635750421586
Integra,LAD_Q50,entrenamiento,estatico,"{""alpha"": 0.001}",1779,0.0033065988726829155,0.004554062991244897,0.19344381712168046,0.00015427251446895602,0.44748735029360553,64.92411467116358
Integra,LAD_Q50,validacion,estatico,"{""alpha"": 0.001}",593,0.003344430358973822,0.005617161636105947,0.13386569956779926,0.00047442926945366853,0.38491478724889877,62.731871838111296
