fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct,fuente_detalle,identificador_final,categoria_final,grupo,entidad_administradora,isin,seccion,estado_identificacion,instrumento_sin_isin,fila_instrumento_origen,participacion_hoja10_refinada_pct,valor_abs,ranking
2026-01-30,CA-0001-en2026.XLS,10,385,Integra,3,106969.023239232,miles_soles,0.031483298726607,,,,EUR,2462373.921423915,4.344142143016814,isin,,2093586.452720453,,hoja_10,DE0006289309,BlackRock Asset Management (Deutschland) AG,154.0,BlackRock Asset Management (Deutschland) AG,DE0006289309,,isin,,,5.109367377699357,106969.023239232,5
2026-01-30,CA-0001-en2026.XLS,10,188,Integra,3,93561.62544,miles_soles,0.0275372113708718,,,,USD,2462373.921423915,3.799651410615013,isin,,2093586.452720453,,hoja_10,US92189F1066,VAN ECK ASSOCIATES CORPORATION,85.0,VAN ECK ASSOCIATES CORPORATION,US92189F1066,,isin,,,4.468964026702787,93561.62544,6
2026-01-30,CA-0001-en2026.XLS,10,341,Integra,3,85383.58256,miles_soles,0.0251302363495685,,,,USD,2462373.921423915,3.467531142086873,isin,,2093586.452720453,,hoja_10,US46138E6288,Invesco Capital Management LLC,134.0,Invesco Capital Management LLC,US46138E6288,,isin,,,4.078340421483462,85383.58256,7
2026-01-30,CA-0001-en2026.XLS,10,465,Integra,3,69333.15627083699,miles_soles,0.0204062485047793,,,,USD,2462373.921423915,2.815703807923037,fondo_sin_isin_pareja_exacta,,2093586.452720453,,hoja_10,Lexington Capital Partners VIII-A feeder LP,Lexington Partners GP Holdings VIII LLC,213.0,Lexington Partners GP Holdings VIII LLC,,,entidad_sin_isin,Lexington Capital Partners VIII-A feeder LP,466.0,3.3116930127601822,69333.15627083699,8
2026-01-30,CA-0001-en2026.XLS,10,205,Integra,3,66665.545344,miles_soles,0.0196211128724932,,,,USD,2462373.921423915,2.707368883497977,isin,,2093586.452720453,,hoja_10,US97717W8516,WisdomTree Asset Management Inc.,88.0,WisdomTree Asset Management Inc.,US97717W8516,,isin,,,3.1842747767771087,66665.545344,9
2026-01-30,CA-0001-en2026.XLS,10,370,Integra,3,58384.832352,miles_soles,0.0171839198150846,,,,USD,2462373.921423915,2.371079056841125,isin,,2093586.452720453,,hoja_10,US37954Y8306,Global X Management Company LLC,147.0,Global X Management Company LLC,US37954Y8306,,isin,,,2.788747141353224,58384.832352,10
2026-01-30,CA-0001-en2026.XLS,10,479,Integra,3,55701.8432828948,miles_soles,0.0163942580626916,,,,,2462373.921423915,2.2621196073537093,entidad_sin_isin_pendiente,,2093586.452720453,,hoja_10,"Coller International General Partner VIII,L.P","Coller International General Partner VIII,L.P",227.0,"Coller International General Partner VIII,L.P",,,entidad_sin_isin,,,2.660594369557301,55701.8432828948,11
2026-01-30,CA-0001-en2026.XLS,10,163,Integra,3,45508.2588489855,miles_soles,0.013394065538638,,,,JPY,2462373.921423915,1.8481457447644456,isin,,2093586.452720453,,hoja_10,LU0102000758,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,76.0,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,LU0102000758,,isin,,,2.1736985730802303,45508.2588489855,12
2026-01-30,CA-0001-en2026.XLS,10,386,Integra,3,44341.484832,miles_soles,0.0130506586923303,,,,USD,2462373.921423915,1.800761632756356,isin,,2093586.452720453,,hoja_10,DE000A0Q4R85,BlackRock Asset Management (Deutschland) AG,154.0,BlackRock Asset Management (Deutschland) AG,DE000A0Q4R85,,isin,,,2.117967699608568,44341.484832,13
2026-01-30,CA-0001-en2026.XLS,10,145,Integra,3,42338.083920000005,miles_soles,0.0124610144432603,,,,USD,2462373.921423915,1.7194010849301555,isin,,2093586.452720453,,hoja_10,US4642875235,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642875235,,isin,,,2.0222754052016794,42338.083920000005,14
