model,fecha,prev_sbs_date,prev_vc,vc_sbs,target_ret,base_ret,base_vc,ret_EPU,ret_SPBLSCUP,D_PE,z_PE,shock_active,correction_ret,corrected_ret,corrected_vc
niveles,2026-04-16,2026-04-15,68.8050343,69.4941034,0.010014806431104306,-0.06924343492377638,64.04073738501975,0.0214794101641355,0.03322647941790069,-0.011747069253765188,-2.1144496086166447,True,-0.002872252888682723,-0.0721156878124591,63.84311192649566
niveles,2026-04-17,2026-04-16,69.4941034,70.09192780000001,0.00860251979306792,-0.07168485419627002,64.51242873027049,0.0061429017565632,-0.009184477494336707,0.015327379250899907,2.166113404025941,True,0.0029424326106301983,-0.06874242158563983,64.71691044636115
niveles,2026-04-20,2026-04-17,70.09192780000001,69.7637761,-0.004681733122483878,-0.08665452681078056,64.01814496323561,-0.0041094103750809,-0.005517035711622986,0.0014076253365420859,-0.04853658941872986,False,0.0,-0.08665452681078056,64.01814496323561
niveles,2026-04-21,2026-04-20,69.7637761,68.2148193,-0.022202880729674246,-0.09653770566108455,63.0289412170524,-0.0330111183899081,-0.030537021765749572,-0.0024740966241585255,-0.5972605306181761,False,0.0,-0.09653770566108455,63.0289412170524
niveles,2026-04-22,2026-04-21,68.2148193,69.3758296,0.017019913149575627,-0.061556178757878666,64.01577568923281,0.0165813297490122,0.005541951282381774,0.011039378466630424,1.3371230247691286,True,0.0018163381405575094,-0.059739840617321155,64.13967686727864
niveles,2026-04-23,2026-04-22,69.3758296,68.5443047,-0.01198580117591852,-0.0873176559639568,63.318094778773116,-0.023506825965892,-0.010330684439887272,-0.013176141526004728,-2.12113971934561,True,-0.002881340686182636,-0.09019899665013943,63.11819937830896
niveles,2026-04-24,2026-04-23,68.5443047,69.29837309999999,0.011001182422089695,-0.06136210720078428,64.33828172699538,0.0008597358928819,0.0008806693086746975,-2.0933415792797542e-05,-0.20744696915768499,False,0.0,-0.06136210720078428,64.33828172699538
niveles,2026-04-27,2026-04-24,69.29837309999999,68.8970772,-0.00579084157460541,-0.07301817557784462,64.23833232572521,-0.0109215782670197,-0.010299940477730973,-0.0006216377892887259,-0.27440274079536914,False,0.0,-0.07301817557784462,64.23833232572521
niveles,2026-04-28,2026-04-27,68.8970772,67.7320239,-0.01691005405959367,-0.07986589050286963,63.394550776377045,-0.0228287391156888,-0.019010014904688344,-0.0038187242110004557,-0.793800508825918,False,0.0,-0.07986589050286963,63.394550776377045
niveles,2026-04-29,2026-04-28,67.7320239,67.05704010000001,-0.009965504662854063,-0.07087415718195478,62.931573791859485,-0.0152362181956404,-0.012874506877065928,-0.002361711318574473,-0.5355878328818063,False,0.0,-0.07087415718195478,62.931573791859485
niveles,2026-04-30,2026-04-29,67.05704010000001,68.2211164,0.01735949421960825,-0.042480799595702834,64.2084034180309,0.0233368391563046,0.02624686090783901,-0.00291002175153441,-0.6083552308590068,False,0.0,-0.042480799595702834,64.2084034180309
niveles,2026-05-05,2026-05-04,67.6056176,67.9996896,0.005828983063679516,-0.03240567371697578,65.41481201461977,0.0089904564956955,-0.006314958558084505,0.015305415053780004,1.9396057005927307,True,0.002634746202383011,-0.02977092751459277,65.59293565885113
niveles,2026-05-06,2026-05-05,67.9996896,69.8290569,0.026902583096497068,-0.009358933725825191,67.36328501165691,0.0417515132539367,0.036382894214219474,0.005368619039717228,0.44742012919766866,False,0.0,-0.009358933725825191,67.36328501165691
niveles,2026-05-07,2026-05-06,69.8290569,69.5037787,-0.004658206976299595,-0.04480583090825663,66.70030798405557,0.0,-0.005391042182988914,0.005391042182988914,0.43466158220201806,False,0.0,-0.04480583090825663,66.70030798405557
niveles,2026-05-08,2026-05-07,69.5037787,70.3897559,0.012747180319852225,-0.01750684946798564,68.28698650884292,0.0182063240449366,0.01705713111385143,0.0011491929310851676,-0.09814509359639263,False,0.0,-0.01750684946798564,68.28698650884292
niveles,2026-05-11,2026-05-08,70.3897559,71.3705229,0.013933376916285045,-0.02798509308200603,68.41989202911881,0.0054001792674207,0.01320973934128089,-0.007809560073860191,-1.322987620727047,True,-0.001797136711056842,-0.029782229793062873,68.29339201470859
niveles,2026-05-12,2026-05-11,71.3705229,70.812851,-0.00781375667908979,-0.05922817613944287,67.14337699851465,0.0050131078427408,0.011317462295899361,-0.006304354453158561,-1.0377514714653089,True,-0.0014096740113854309,-0.0606378501508283,67.04276782720353
niveles,2026-05-13,2026-05-12,70.812851,71.0845734,0.0038371905122136507,-0.04239991755345396,67.81039195587498,0.003919261793531,0.0028593260864206993,0.0010599357071103006,-0.07407512535764159,False,0.0,-0.04239991755345396,67.81039195587498
niveles,2026-05-14,2026-05-13,71.0845734,70.8470989,-0.0033407318724936186,-0.03845140130979241,68.3512719412612,-0.0075712693586975,-0.004596288558436745,-0.0029749808002607547,-0.6022981220540952,False,0.0,-0.03845140130979241,68.3512719412612
niveles,2026-05-15,2026-05-14,70.8470989,68.478899,-0.033426914252942086,-0.06582851039405624,66.18333991367263,-0.046251010628768,-0.0369647883846117,-0.009286222244156296,-1.5053003379175376,True,-0.002044788973120715,-0.06787329936717695,66.03847254706432
niveles,2026-05-18,2026-05-15,68.478899,67.9831173,-0.007239919263304695,-0.03764973046824194,65.90068690988804,0.0026246604032718,-0.011435604215276451,0.014060264618548252,1.6700551871332925,True,0.0022685907557009276,-0.03538113971254101,66.05603750712001
niveles,2026-05-19,2026-05-18,67.9831173,67.128032,-0.012577906603291278,-0.040588277988093946,65.2237996365304,-0.0113438500157304,-0.003812735053819294,-0.0075311149619111065,-1.2298939181139579,True,-0.0016706789060758325,-0.04225895689416978,65.11022167648801
niveles,2026-05-20,2026-05-19,67.128032,68.4622573,0.019875829221389862,-0.004823461206530877,66.80424254177724,0.0342958177333645,0.028275359300145908,0.006020458433218592,0.6064866577612698,False,0.0,-0.004823461206530877,66.80424254177724
niveles,2026-05-21,2026-05-20,68.4622573,68.9077609,0.006507287629267111,-0.010274572065406606,67.75883690361074,0.0180422208820894,0.013217197548994752,0.004825023333094647,0.44310270480178193,False,0.0,-0.010274572065406606,67.75883690361074
niveles,2026-05-22,2026-05-21,68.9077609,68.6568631,-0.0036410673735881582,-0.019645365610718613,67.55404274370352,-0.0108969421486169,-0.009271291483406774,-0.0016256506652101259,-0.39671569408751123,False,0.0,-0.019645365610718613,67.55404274370352
niveles,2026-05-27,2026-05-26,70.8321633,70.1458301,-0.009689569935809161,-0.007545873449198992,70.2976727596052,-0.0154633391236068,0.02880565014503733,-0.04426898926864413,-5.896905651866767,True,-0.008010313522649947,-0.01555618697184894,69.73028492408467
niveles,2026-05-28,2026-05-27,70.1458301,70.6707533,0.007483312967451861,0.007881825565924316,70.69870729702517,0.0048417103358204,0.002574349670238174,0.002267360665582226,0.21292301776810155,False,0.0,0.007881825565924316,70.69870729702517
niveles,2026-05-29,2026-05-28,70.6707533,71.15447420000001,0.006844711247757651,0.0020738113791420876,70.81731111236608,0.0079915423015828,0.006749486452117814,0.001242055849464985,0.1274496751666054,False,0.0,0.0020738113791420876,70.81731111236608
niveles,2026-06-01,2026-05-29,71.15447420000001,71.1479104,-9.224718577161006e-05,0.009016992370916022,71.79607355101795,0.0012825068748612,-0.004663816556548794,0.005946323431409994,0.5640970728260845,False,0.0,0.009016992370916022,71.79607355101795
niveles,2026-06-02,2026-06-01,71.1479104,72.00246680000001,0.012010983810987641,0.012219209997496039,72.01728165806064,0.0034932820371726,0.009127294025771171,-0.005634011988598571,-0.4585806314146817,False,0.0,0.012219209997496039,72.01728165806064
niveles,2026-06-03,2026-06-02,72.00246680000001,71.1049439,-0.01246516876280146,-0.011880997149169126,71.14700569721606,-0.0257600512049406,-0.028198307134220113,0.0024382559292795147,0.31898296742640303,False,0.0,-0.011880997149169126,71.14700569721606
niveles,2026-06-04,2026-06-03,71.1049439,70.506511,-0.008416192562385127,-0.010184357875773431,70.3807857045856,-0.0016674534442,-0.003483973720883826,0.001816520276683826,0.22297893358754375,False,0.0,-0.010184357875773431,70.3807857045856
niveles,2026-06-05,2026-06-04,70.506511,67.0292273,-0.04931861824789485,-0.06749463824043134,65.74769954646001,-0.0627535451608366,-0.05903506143242432,-0.0037184837284122835,-0.2561298379346712,False,0.0,-0.06749463824043134,65.74769954646001
