pair,k,fecha,period,active,majority_count,n_conf,majority_sign,aligned,outlier,pattern,base,target,corr
PE,5,2026-08-24,OOS,False,4,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0088882805750203,-0.011513122467057602,-0.0088882805750203
PE,6,2026-01-07,PRE,False,5,6,-1,ret_EPU,ret_SPBLSCUP,EPU_DOWN_SPBLSCUP_UP,0.0022373769864915,-0.004238537720703817,0.0022373769864915
PE,6,2026-01-16,PRE,True,6,6,-1,ret_EPU,ret_SPBLSCUP,EPU_DOWN_SPBLSCUP_UP,0.0036338911567062,0.0004670445843297788,0.003292108141897462
PE,6,2026-01-21,PRE,False,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.0074168144029519,0.005098137564183869,0.0074168144029519
PE,6,2026-01-22,PRE,False,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.002188038803997,0.012102545415126897,0.002188038803997
PE,6,2026-03-02,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0069645063373042,-0.0009607755612303093,-0.0069645063373042
PE,6,2026-04-17,PRE,True,6,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.007387378920328,0.00860251979306792,0.007096097863546284
PE,6,2026-05-05,PRE,False,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.021116554719508,-0.003245722317144706,0.021116554719508
PE,6,2026-05-18,PRE,False,5,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0035248323938032,-0.007239919263304695,-0.0035248323938032
PE,6,2026-05-27,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,0.0374958558987766,0.021687081709971245,0.0374958558987766
PE,6,2026-06-01,PRE,False,5,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,0.0129846786039607,-9.224718577161006e-05,0.0129846786039607
PE,6,2026-06-15,PRE,True,6,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,0.0257651922998625,0.03018501243796412,0.02542340928505376
PE,6,2026-06-25,PRE,False,5,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,0.0180242699524423,0.010089230516794778,0.0180242699524423
PE,6,2026-06-26,PRE,False,5,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0083416107276802,-0.004681213145730889,-0.0083416107276802
PE,6,2026-07-01,PRE,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.010242208888519,-0.003119596935229896,-0.010242208888519
PE,6,2026-07-15,TRAIN,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0079551239892028,-0.008458202674095805,-0.0079551239892028
PE,6,2026-07-20,TRAIN,False,4,6,1,ret_EPU,ret_SPBLSCUP,EPU_UP_SPBLSCUP_DOWN,-0.0019211459521712,-0.0022124270089529663,-0.0019211459521712
PE,6,2026-07-27,TRAIN,False,5,6,1,ret_SPBLSCUP,ret_EPU,EPU_DOWN_SPBLSCUP_UP,-0.0014593460167311,-0.0017900987206110885,-0.0014593460167311
PE,6,2026-08-10,TRAIN,False,3,6,0,,,EPU_DOWN_SPBLSCUP_UP,-0.0065869998346808,-0.006778517490334091,-0.0065869998346808
PE,6,2026-08-24,OOS,False,4,6,-1,ret_SPBLSCUP,ret_EPU,EPU_UP_SPBLSCUP_DOWN,-0.0088882805750203,-0.011513122467057602,-0.0088882805750203
