fecha,vc_sbs,target_ret,ret_SPY,ret_QQQ,pattern_US,ret_EPU,ret_SPBLSCUP,pattern_PE,base_ret_niveles,base_ret_retornos
2026-04-17,70.09192780000001,0.00860251979306792,0.012085685130224011,0.013084149556009228,,0.0061429017565632,-0.009184477494336707,EPU_UP_SPBLSCUP_DOWN,-0.07168485419627002,0.007387378920328016
2026-04-29,67.05704010000001,-0.009965504662854063,-0.00015454109399481997,0.006113633344809299,QQQ_UP_SPY_DOWN,-0.0152362181956404,-0.012874506877065928,,-0.07087415718195478,-0.003043731171234862
2026-05-05,67.9996896,-0.003245722317144706,0.007110520381926166,0.02077155078329085,,0.0089904564956955,-0.006314958558084505,EPU_UP_SPBLSCUP_DOWN,-0.04113542160357009,0.021116554719508032
2026-05-18,67.9831173,-0.007239919263304695,-0.0007034356211904624,-0.004302241158477327,,0.0026246604032718,-0.011435604215276451,EPU_UP_SPBLSCUP_DOWN,-0.03764973046824194,-0.0035248323938032082
2026-05-27,70.1458301,0.021687081709971245,0.006464255176127143,0.016598425933605165,,-0.0154633391236068,0.02880565014503733,EPU_DOWN_SPBLSCUP_UP,0.023898698331372037,0.03749585589877661
2026-06-01,71.1479104,-9.224718577161006e-05,0.00272313559086812,0.006000179721837862,,0.0012825068748612,-0.004663816556548794,EPU_UP_SPBLSCUP_DOWN,0.009016992370916022,0.012984678603960761
2026-06-04,70.506511,-0.008416192562385127,0.003778686701839007,-0.00483739336316813,QQQ_DOWN_SPY_UP,-0.0016674534442,-0.003483973720883826,,-0.010184357875773431,-0.010559451583281866
2026-06-15,73.1777194,0.03018501243796412,0.017633996750716197,0.03141371932916659,,-0.0003426082701384,0.008007679880118967,EPU_DOWN_SPBLSCUP_UP,0.027549046480487727,0.02576519229986255
2026-06-25,71.4791849,0.010089230516794778,0.0014456352254532678,0.008105611726665796,,-0.0014470366108818,0.014123818002454325,EPU_DOWN_SPBLSCUP_UP,0.023551009151077995,0.018024269952442364
2026-06-26,71.1445756,-0.004681213145730889,-0.007231373616869652,-0.013763624451209266,,0.0071247915068188,-0.002775932428584982,EPU_UP_SPBLSCUP_DOWN,0.004637709340546525,-0.008341610727680294
2026-07-01,70.9226332,-0.003119596935229896,0.023004457888178065,0.02639693549133937,,-0.0088622498655033,0.0037353382027551785,EPU_DOWN_SPBLSCUP_UP,-0.002859156000946217,-0.010242208888519008
2026-07-08,69.8131004,-0.001746806880565499,-0.0030894297130047432,0.0028332742996159954,QQQ_UP_SPY_DOWN,-0.0123427060151446,-0.012878466826764634,,-9.707966416694358e-05,-0.0009709762557685844
2026-07-15,69.9080824,-0.008458202674095805,0.003963635929681075,-0.002709516875899598,QQQ_DOWN_SPY_UP,-0.0006916227122039,0.0028716639697334845,EPU_DOWN_SPBLSCUP_UP,-0.0061721932681293445,-0.00795512398920284
2026-07-20,68.06385,-0.0022124270089529663,-0.0016143782471810253,0.001049833101992581,QQQ_UP_SPY_DOWN,0.0001182641886556,-0.001253190995590514,EPU_UP_SPBLSCUP_DOWN,-0.004959502039017294,-0.0019211459521712505
2026-07-24,68.3626543,-0.018859849963174136,0.0010160123647910968,-0.011171225588826994,QQQ_DOWN_SPY_UP,-0.0021008438904605,-0.024895613523099658,,-0.02347001878169286,-0.02407502024887459
2026-07-27,68.2402784,-0.0017900987206110885,0.0002165755636849287,-0.003083737064717651,QQQ_DOWN_SPY_UP,-0.0003508629157529,0.006446117365379811,EPU_DOWN_SPBLSCUP_UP,-0.0041225744886780324,-0.0014593460167311105
2026-07-28,66.6628135,-0.023116331541812585,0.002394780651586048,-0.009719704641810822,QQQ_DOWN_SPY_UP,-0.0073710643946954,0.0,,-0.019786205096616105,-0.018526128563432505
2026-08-10,69.2112776,-0.006778517490334091,-0.00029741673673222557,-0.0029874750593527066,,-0.0004408300250061,0.0015028952835609566,EPU_DOWN_SPBLSCUP_UP,-0.0065147428228864435,-0.006586999834680821
2026-08-19,70.327616,0.00997810334032101,0.00209783741736147,-0.0019929933468779693,QQQ_DOWN_SPY_UP,0.0285746949484755,0.009905713961149587,,0.005083161090635224,0.006092421533250689
2026-08-24,70.9791366,-0.011513122467057602,-0.0029384110198065194,-0.009979809224073155,,0.0029787104180518,-0.00260625936624459,EPU_UP_SPBLSCUP_DOWN,-0.012038964132289998,-0.00888828057502038
