fecha,vc,fuente,senal,ret_estimado
2026-04-07,65.8954016,SBS OFICIAL,,
2026-04-08,68.1833191,SBS OFICIAL,,
2026-04-09,68.1696927,SBS OFICIAL,,
2026-04-10,68.6648503,SBS OFICIAL,,
2026-04-13,69.1042024,SBS OFICIAL,,
2026-04-14,69.83278390000001,SBS OFICIAL,,
2026-04-15,68.8050343,SBS OFICIAL,,
2026-04-16,69.4941034,SBS OFICIAL,,
2026-04-17,70.09192780000001,SBS OFICIAL,,
2026-04-20,69.7637761,SBS OFICIAL,,
2026-04-21,68.2148193,SBS OFICIAL,,
2026-04-22,69.3758296,SBS OFICIAL,,
2026-04-23,68.5443047,SBS OFICIAL,,
2026-04-24,69.29837309999999,SBS OFICIAL,,
2026-04-27,68.8970772,SBS OFICIAL,,
2026-04-28,67.7320239,SBS OFICIAL,,
2026-04-29,67.05704010000001,SBS OFICIAL,,
2026-04-30,68.2211164,SBS OFICIAL,,
2026-05-01,68.0293085,SBS OFICIAL,,
2026-05-04,67.6056176,SBS OFICIAL,,
2026-05-05,67.9996896,SBS OFICIAL,,
2026-05-06,69.8290569,SBS OFICIAL,,
2026-05-07,69.5037787,SBS OFICIAL,,
2026-05-08,70.3897559,SBS OFICIAL,,
2026-05-11,71.3705229,SBS OFICIAL,,
2026-05-12,70.812851,SBS OFICIAL,,
2026-05-13,71.0845734,SBS OFICIAL,,
2026-05-14,70.8470989,SBS OFICIAL,,
2026-05-15,68.478899,SBS OFICIAL,,
2026-05-18,67.9831173,SBS OFICIAL,,
2026-05-19,67.128032,SBS OFICIAL,,
2026-05-20,68.4622573,SBS OFICIAL,,
2026-05-21,68.9077609,SBS OFICIAL,,
2026-05-22,68.6568631,SBS OFICIAL,,
2026-05-25,68.6882542,SBS OFICIAL,,
2026-05-26,70.8321633,SBS OFICIAL,,
2026-05-27,70.1458301,SBS OFICIAL,,
2026-05-28,70.6707533,SBS OFICIAL,,
2026-05-29,71.15447420000001,SBS OFICIAL,,
2026-06-01,71.1479104,SBS OFICIAL,,
2026-06-02,72.00246680000001,SBS OFICIAL,,
2026-06-03,71.1049439,SBS OFICIAL,,
2026-06-04,70.506511,SBS OFICIAL,,
2026-06-05,67.0292273,SBS OFICIAL,,
2026-06-08,67.10059100000001,SBS OFICIAL,,
2026-06-09,68.1275219,SBS OFICIAL,,
2026-06-10,67.22211700000001,SBS OFICIAL,,
2026-06-11,70.0832019,SBS OFICIAL,,
2026-06-12,71.0335702,SBS OFICIAL,,
2026-06-15,73.1777194,SBS OFICIAL,,
2026-06-16,72.5840362,SBS OFICIAL,,
2026-06-17,72.6023076,SBS OFICIAL,,
2026-06-18,72.61369810000001,SBS OFICIAL,,
2026-06-19,72.6232677,SBS OFICIAL,,
2026-06-22,72.766161,SBS OFICIAL,,
2026-06-23,70.9600594,SBS OFICIAL,,
2026-06-24,70.7652183,SBS OFICIAL,,
2026-06-25,71.4791849,SBS OFICIAL,,
2026-06-26,71.1445756,SBS OFICIAL,,
2026-06-29,71.2934767,SBS OFICIAL,,
2026-06-30,71.9348302,SBS OFICIAL,,
2026-07-01,70.9226332,SBS OFICIAL,,
2026-07-02,70.3358541,SBS OFICIAL,,
2026-07-03,70.3944744,SBS OFICIAL,,
2026-07-06,71.3369613,SBS OFICIAL,,
2026-07-07,69.9352638,SBS OFICIAL,,
2026-07-08,69.8131004,SBS OFICIAL,,
2026-07-09,70.9792394,SBS OFICIAL,,
2026-07-10,71.0624925,SBS OFICIAL,,
2026-07-13,69.4242724,SBS OFICIAL,,
2026-07-14,70.5044231,SBS OFICIAL,,
2026-07-15,69.9080824,SBS OFICIAL,,
2026-07-16,68.4036329,SBS OFICIAL,,
2026-07-17,68.2147702,SBS OFICIAL,,
2026-07-20,68.06385,SBS OFICIAL,,
2026-07-21,70.0218928,SBS OFICIAL,,
2026-07-22,70.0996577,SBS OFICIAL,,
2026-07-23,69.6767473,SBS OFICIAL,,
2026-07-24,68.3626543,SBS OFICIAL,,
2026-07-27,68.2402784,SBS OFICIAL,,
2026-07-28,66.6628135,SBS OFICIAL,,
2026-07-29,65.3231046,SBS OFICIAL,,
2026-07-30,68.2721906,SBS OFICIAL,,
2026-07-31,67.7685784,SBS OFICIAL,,
2026-08-03,68.15598434450929,MODELO OLS,SUBE,0.005716601316655121
2026-08-04,70.28717040522032,MODELO OLS,SUBE,0.03126924335709794
