afp,modelo_codigo,familia,parametros,umbral,brier,auc,prevalencia_caida_pct,n,n_alertas,tp,fp,fn,tn,precision_alerta_pct,cobertura_caidas_pct,falsas_alarmas_pct,cobertura_alertas_pct,puntaje_control_riesgo
Habitat,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.7,0.2435120156370171,0.6059539888093157,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.75,0.2435120156370171,0.6059539888093157,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.55,0.24499149537087828,0.6025831640354561,48.31649831649832,594,87,56,31,231,276,64.36781609195403,19.51219512195122,10.097719869706841,14.646464646464647,0.3225067096228639
Habitat,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.6,0.24499149537087828,0.6025831640354561,48.31649831649832,594,49,31,18,256,289,63.26530612244898,10.801393728222997,5.863192182410423,8.24915824915825,0.27497304475138745
Habitat,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.65,0.24499149537087828,0.6025831640354561,48.31649831649832,594,12,8,4,279,303,66.66666666666666,2.7874564459930316,1.3029315960912053,2.0202020202020203,0.24736141219020377
Habitat,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.7,0.24499149537087828,0.6025831640354561,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.75,0.24499149537087828,0.6025831640354561,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.55,0.24415272464009607,0.6005515895084497,48.31649831649832,594,97,65,32,222,275,67.0103092783505,22.64808362369338,10.423452768729643,16.329966329966332,0.34867708963581073
Habitat,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.6,0.24415272464009607,0.6005515895084497,48.31649831649832,594,43,26,17,261,290,60.46511627906976,9.059233449477352,5.537459283387622,7.23905723905724,0.255916231665482
Habitat,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.65,0.24415272464009607,0.6005515895084497,48.31649831649832,594,6,4,2,283,305,66.66666666666666,1.3937282229965158,0.6514657980456027,1.0101010101010102,0.24034737276176854
