afp,variante,segmento,n,prevalencia_pct,auc,brier,n_alertas,cobertura_dias_pct,precision_alerta_pct,mejora_precision_pp,cobertura_caidas_pct,falsas_alarmas_pct,perdida_evitada_suma_pct,ganancia_sacrificada_suma_pct,proteccion_neta_suma_pct
Integra,completo_sin_retroceso_desde_maximo,primera_mitad,157,20.382165605095544,0.5609999999999999,0.23705728097977818,7,4.45859872611465,57.14285714285714,36.760691537761595,12.5,2.4,3.40843867622585,0.62300450095964,2.78543417526621
Integra,completo_sin_retroceso_desde_maximo,segunda_mitad,158,13.924050632911392,0.615307486631016,0.19694890288944955,5,3.1645569620253164,0.0,-13.924050632911392,0.0,3.6764705882352944,0.0,2.18742309843152,-2.18742309843152
Prima,base_sin_rebote,primera_mitad,167,20.958083832335326,0.5935064935064935,0.23856716888893764,18,10.778443113772456,33.33333333333333,12.375249500998004,17.142857142857142,9.090909090909092,5.7833663923467205,2.08628740218118,3.6970789901655405
Prima,base_sin_rebote,segunda_mitad,168,14.285714285714285,0.5034722222222222,0.21154963115209768,14,8.333333333333332,14.285714285714285,0.0,8.333333333333332,8.333333333333332,4.431936663884089,9.30639509481979,-4.8744584309357
Prima,completo,primera_mitad,167,20.958083832335326,0.55995670995671,0.17077280832833516,38,22.75449101796407,15.789473684210526,-5.168610148124802,17.142857142857142,24.242424242424242,5.594900536273911,7.920202629169026,-2.325302092895116
Prima,completo,segunda_mitad,168,14.285714285714285,0.5179398148148149,0.13914702716948996,21,12.5,9.523809523809524,-4.761904761904762,8.333333333333332,13.194444444444445,3.7797461373612498,11.92297480961326,-8.14322867225201
Prima,completo_sin_distancia_temporal,primera_mitad,167,20.958083832335326,0.5577922077922077,0.1712321979038605,36,21.55688622754491,22.22222222222222,1.264138389886893,22.857142857142858,21.21212121212121,7.623320047847981,6.341753953407407,1.281566094440574
Prima,completo_sin_distancia_temporal,segunda_mitad,168,14.285714285714285,0.5263310185185185,0.13868780906074438,21,12.5,9.523809523809524,-4.761904761904762,8.333333333333332,13.194444444444445,3.7797461373612498,11.92297480961326,-8.14322867225201
Prima,completo_sin_nivel_fraccion_recuperada,primera_mitad,167,20.958083832335326,0.5757575757575757,0.25688910967213285,44,26.34730538922156,20.454545454545457,-0.5035383777898722,25.71428571428571,26.515151515151516,8.22099275667939,7.8605402833348865,0.36045247334450387
Prima,completo_sin_nivel_fraccion_recuperada,segunda_mitad,168,14.285714285714285,0.48582175925925924,0.2098430157480346,21,12.5,9.523809523809524,-4.761904761904762,8.333333333333332,13.194444444444445,4.662247735508541,14.996481168886339,-10.334233433377799
Prima,completo_sin_velocidad_rebote,primera_mitad,167,20.958083832335326,0.582034632034632,0.2568276785018573,40,23.952095808383234,17.5,-3.458083832335329,20.0,25.0,7.03330018093333,7.928812504732957,-0.8955123237996271
Prima,completo_sin_velocidad_rebote,segunda_mitad,168,14.285714285714285,0.5086805555555556,0.23863630868334124,23,13.690476190476192,13.043478260869565,-1.2422360248447202,12.5,13.88888888888889,4.774864063538,15.75333110419873,-10.978467040660732
Prima,completo_sin_retroceso_desde_maximo,primera_mitad,167,20.958083832335326,0.5805194805194805,0.2453225434278574,27,16.16766467065868,22.22222222222222,1.264138389886893,17.142857142857142,15.909090909090908,4.96840726168793,4.570144894552299,0.39826236713563085
Prima,completo_sin_retroceso_desde_maximo,segunda_mitad,168,14.285714285714285,0.5367476851851852,0.2389454672658798,22,13.095238095238097,13.636363636363635,-0.6493506493506496,12.5,13.194444444444445,4.774864063538,15.55815572937657,-10.783291665838572
Profuturo,base_sin_rebote,primera_mitad,164,21.951219512195124,0.6395399305555556,0.23608462541926958,24,14.634146341463413,37.5,15.548780487804878,25.0,11.71875,8.630732840748712,1.79125852585464,6.839474314894072
Profuturo,base_sin_rebote,segunda_mitad,164,14.02439024390244,0.5797101449275363,0.21175921744210907,17,10.365853658536585,17.647058823529413,3.6226685796269726,13.043478260869565,9.929078014184398,5.463398821032743,8.00837875943126,-2.544979938398517
Profuturo,completo,primera_mitad,164,21.951219512195124,0.6280381944444444,0.2337582174090197,39,23.78048780487805,33.33333333333333,11.38211382113821,36.11111111111111,20.3125,12.476918126052272,4.80329280426016,7.673625321792113
Profuturo,completo,segunda_mitad,164,14.02439024390244,0.5399321615787851,0.21746195876551527,27,16.463414634146343,14.814814814814813,0.7904245709123736,17.391304347826086,16.312056737588655,6.541467415460192,11.125081104618499,-4.583613689158307
Profuturo,completo_sin_distancia_temporal,primera_mitad,164,21.951219512195124,0.6197916666666666,0.17165472931444395,34,20.73170731707317,32.35294117647059,10.401721664275469,30.555555555555557,17.96875,10.30300290969725,3.7855876270190594,6.517415282678191
Profuturo,completo_sin_distancia_temporal,segunda_mitad,164,14.02439024390244,0.5405488744989208,0.12331045330958755,23,14.02439024390244,13.043478260869565,-0.9809119830328755,13.043478260869565,14.184397163120568,5.814719476684043,10.486815807676379,-4.6720963309923365
Profuturo,completo_sin_nivel_fraccion_recuperada,primera_mitad,164,21.951219512195124,0.5504557291666666,0.17620797378020361,25,15.24390243902439,28.000000000000004,6.048780487804881,19.444444444444446,14.0625,7.14797290617658,3.60937288370228,3.538600022474301
Profuturo,completo_sin_nivel_fraccion_recuperada,segunda_mitad,164,14.02439024390244,0.5522664199814986,0.12355114003705053,35,21.341463414634145,14.285714285714285,0.26132404181184454,21.73913043478261,21.27659574468085,9.040966363502699,24.720888444255944,-15.679922080753245
Profuturo,completo_sin_velocidad_rebote,primera_mitad,164,21.951219512195124,0.5407986111111112,0.17769743504769187,13,7.926829268292683,15.384615384615385,-6.566604127579737,5.555555555555555,8.59375,2.5121931061639504,2.96848946205596,-0.45629635589200973
Profuturo,completo_sin_velocidad_rebote,segunda_mitad,164,14.02439024390244,0.5238976256552574,0.12431300349140537,30,18.29268292682927,20.0,5.975609756097561,26.08695652173913,17.02127659574468,10.942498284615588,19.20798293776968,-8.265484653154088
Profuturo,completo_sin_retroceso_desde_maximo,primera_mitad,164,21.951219512195124,0.6256510416666667,0.16912224814031446,25,15.24390243902439,28.000000000000004,6.048780487804881,19.444444444444446,14.0625,6.919860957235499,3.2945478078143795,3.6253131494211193
Profuturo,completo_sin_retroceso_desde_maximo,segunda_mitad,164,14.02439024390244,0.5411655874190564,0.12298053690098815,22,13.414634146341465,9.090909090909092,-4.933481152993349,8.695652173913043,14.184397163120568,4.063454113540644,10.222634338296528,-6.159180224755885
