fecha,SPY,NEM,FCX,EPU,MCHI,EEM,USD_PEN,ret_SPY,ret_NEM,ret_FCX,ret_EPU,ret_MCHI,ret_EEM,ret_USD_PEN
2025-07-16,624.219970703125,58.45000076293945,43.97999954223633,48.0,56.5099983215332,48.90999984741211,3.55,0.0033432282214846,0.0191805112133478,-0.0031731503408369,-0.0024937434444798,-0.0029993292647716,0.0047247235167309,-0.002808988764045
2025-07-17,628.0399780273438,57.9900016784668,44.459999084472656,48.20000076293945,56.91999816894531,49.18999862670898,3.561,0.0061196493279698,-0.0078699585708871,0.0109140415468935,0.0041666825612385,0.0072553505501675,0.0057247757139726,0.0030985915492958
2025-07-18,627.5800170898438,58.18999862670898,44.79999923706055,48.31999969482422,57.45000076293945,49.08000183105469,3.566,-0.0007323752525193,0.0034488177695026,0.0076473270262984,0.0024896043565425,0.0093113599972549,-0.0022361617955926,0.001404099971918
2025-07-21,628.77001953125,59.86000061035156,45.18999862670898,48.93000030517578,57.810001373291016,49.400001525878906,3.561,0.0018961764380651,0.0286991239569482,0.0087053436671895,0.0126241848966093,0.0062663290786899,0.0065199609389936,-0.0014021312394839
2025-07-22,628.8599853515625,61.70000076293945,45.79999923706055,49.54999923706055,58.66999816894531,49.43000030517578,3.555,0.0001430822359811,0.0307383918113375,0.0134985755452319,0.0126711409772704,0.0148762631936492,0.0006072627200459,-0.0016849199663014
2025-07-23,634.2100219726562,61.41999816894531,44.84000015258789,50.29999923706055,59.25,49.93000030517578,,0.0085075163720311,-0.0045381295061883,-0.0209606790494407,0.0151362262673668,0.0098858334609883,0.0101153145238326,
2025-07-24,634.4199829101562,61.5099983215332,44.58000183105469,49.97999954223633,59.18000030517578,49.65999984741211,3.544,0.0003310590028946,0.0014653232704489,-0.0057983568387253,-0.0063618230552267,-0.00118142944851,-0.0054075797338956,-0.0030942334739803
2025-07-25,637.0999755859375,65.75,44.88999938964844,49.61000061035156,58.93000030517578,49.5099983215332,3.546,0.0042243194539488,0.0689319101636598,0.0069537358874176,-0.0074029398814238,-0.0042244001133966,-0.0030205704055539,0.0005643340857788
2025-07-28,636.9400024414062,63.65999984741211,43.790000915527344,49.150001525878906,58.70000076293945,49.18000030517578,,-0.0002510958258695,-0.0317870745640743,-0.0245043102935472,-0.0092723055596308,-0.0039029278982734,-0.0066652802978161,
2025-07-29,635.260009765625,63.9900016784668,43.22999954223633,49.43999862670898,58.560001373291016,49.20000076293945,,-0.0026375995687848,0.0051838176538749,-0.012788338926306,0.005900246018861,-0.0023849980890771,0.0004066786831957,
2025-07-30,634.4600219726562,62.310001373291016,39.13999938964844,47.9900016784668,57.88999938964844,48.84000015258789,3.57,-0.0012593076546151,-0.026254106283937,-0.0946102289127229,-0.0293284180525614,-0.0114412904359691,-0.0073170854627859,0.0067681895093063
2025-07-31,632.0800170898438,62.09999847412109,40.2400016784668,48.650001525878906,57.43000030517578,48.560001373291016,3.594,-0.0037512290773067,-0.0033702920003455,0.0281043001014784,0.013752861519658,-0.007946088950122,-0.005732980721173,0.0067226890756302
2025-08-01,621.719970703125,62.59000015258789,40.02999877929688,48.34999847412109,56.52000045776367,48.20000076293945,3.583,-0.0163904032821942,0.0078905264171784,-0.0052187597020478,-0.0061665579105527,-0.0158453742395348,-0.0074135214203179,-0.0030606566499721
2025-08-04,631.1699829101562,65.41999816894531,40.41999816894531,49.27000045776367,57.470001220703125,48.70000076293945,3.565,0.0151997887350214,0.045214858754724,0.0097426780300113,0.0190279630336493,0.0168082228458112,0.0103734438192051,-0.005023723137036
2025-08-05,627.969970703125,67.23999786376953,40.02999877929688,49.70000076293945,57.86000061035156,48.84000015258789,3.556,-0.0050699689365404,0.0278202345729836,-0.0096486741047918,0.0087274264497805,0.0067861385307912,0.0028747307485665,-0.002524544179523
2025-08-06,632.780029296875,67.91999816894531,39.86000061035156,50.18000030517578,58.36000061035156,49.06999969482422,,0.0076596952372807,0.010113032819446,-0.0042467692762767,0.009657938327322,0.0086415484743451,0.0047092453218213,
2025-08-07,632.25,69.06999969482422,40.79999923706055,50.709999084472656,58.20000076293945,49.47999954223633,3.541,-0.0008376201402309,0.0169317072567989,0.0235825040721366,0.0105619524924993,-0.0027416011949754,0.0083554075802319,-0.0042182227221597
2025-08-08,637.1799926757812,68.9800033569336,41.869998931884766,51.720001220703125,58.18999862670898,49.43999862670898,3.525,0.0077975368537466,-0.0013029729012343,0.0262254832066832,0.0199172185853919,-0.0001718580085798,-0.0008084259478053,-0.0045184975995481
2025-08-11,635.9199829101562,68.87000274658203,41.459999084472656,51.130001068115234,57.81999969482422,49.29999923706055,3.535,-0.0019774785462639,-0.0015946738909589,-0.0097922106011778,-0.0114075819540336,-0.0063584626330431,-0.0028317029437133,0.0028368794326241
2025-08-12,642.6900024414062,68.93000030517578,42.150001525878906,51.75,58.72999954223633,49.900001525878906,3.529,0.0106460242061718,0.0008711711369393,0.0166426062866138,0.0121259323084856,0.0157384962333988,0.0121704320102162,-0.0016973125884017
2025-08-13,644.8900146484375,68.55999755859375,42.7400016784668,52.15999984741211,60.560001373291016,50.5,3.543,0.0034231312120525,-0.0053678042208603,0.0139976306341447,0.0079227023654513,0.0311595750948137,0.0120240171497776,0.0039671294984415
2025-08-14,644.9500122070312,68.4800033569336,42.27999877929688,51.95000076293945,59.29999923706055,49.880001068115234,3.575,9.303533506632712e-05,-0.0011667766118542,-0.0107628189308583,-0.0040260560791216,-0.0208058472202441,-0.0122772065719755,0.0090318938752469
2025-08-15,643.4400024414062,69.33000183105469,42.36000061035156,52.18999862670898,59.68000030517578,49.93999862670898,3.559,-0.0023412818622294,0.0124123602869981,0.0018921909499642,0.0046197855677558,0.0064081125295822,0.001202837957277,-0.0044755244755244
